VIN,Total_Energy
53E***********CXZ,179.48
53J***********93E,145.88
54G***********S7H,185.49
54H***********BXC,275.27
556***********RR3,143.57
559***********D23,399.51
55G***********ANC,329.73
55K***********8T8,208.81
55T***********BPX,306.22
55T***********WA5,121.91
55V***********RWL,118.68
55W***********ADT,310.22
562***********SJF,187.12
563***********BYC,224.48
564***********KZ6,192.05
564***********W4U,275.73
56P***********5Z7,174.56
56W***********9BG,175.93
578***********6PR,204.78
57C***********KKE,160.23
57M***********6DB,373.88
57S***********CB3,155.96
57W***********L5G,195.34
58F***********867,303.33
58G***********SKK,222.93
58J***********4MT,197.45
590***********37N,240.78
59A***********XV9,181.85
59D***********VMD,307.8
59G***********JWM,86.6
59G***********SD0,208.61
59P***********GZV,90.52
59S***********FDD,310.16
5A0***********CYU,248.22
5AW***********4C3,169.65
5AX***********EJ8,191.54
5BH***********GK9,153.95
5BY***********AVN,312.08
5C0***********SLB,225.86
5C5***********MC6,274.07
5CJ***********VPE,464.51
5D3***********BSW,353.13
5D6***********60R,237.32
5DB***********HEY,148.83
5DU***********PJV,121.17
5E5***********ADT,134.21
5E6***********M6U,356.78
5EK***********RVU,296.94
5EN***********9JM,265.08
5EX***********C81,339.5
5FE***********19M,280.53
5FF***********BW8,203.01
5FH***********XPT,177.23
5FK***********LKP,204.5
5FY***********9YA,173.76
5GD***********GLZ,300.08
5GE***********UXC,204.01
5HK***********GLL,193.9
5HX***********23C,314.28
5HY***********UE7,156.91
5J0***********WLP,336.16
5J3***********ZEN,433.51
5J8***********MW7,136.71
5J8***********T29,152.56
5J9***********LSZ,237.87
5JC***********HZK,262.75
5JJ***********MXL,176.62
5JP***********60N,392.44
5JY***********AH0,214.32
5JZ***********0AY,120.38
5K7***********YC0,248.16
5KM***********U12,380.51
5L2***********48T,293.07
5LV***********NUG,212.11
5LX***********FBB,337.33
5MF***********MEV,276.99
5MT***********L9E,236.71
5MY***********R00,191.96
5N4***********0JG,151.32
5P9***********7DB,355.28
5PD***********ABR,251.76
5RP***********R4C,302.16
5S3***********D12,125.86
5SC***********96A,351.82
5SL***********9EF,261.23
5T7***********18P,182.99
5TV***********8W5,101.22
5U0***********W2X,302.6
5V0***********LLT,215.68
5V9***********9U6,135.73
5VC***********95P,265.04
5VU***********EMS,220.56
5VX***********6PG,346.56
5W1***********HT3,183.48
5W7***********3Z0,323.51
5WB***********453,455.9
5WL***********A8U,330.19
5X3***********VWC,246.5
5X4***********FLV,210.05
5X8***********ML5,206.65
5XF***********6VM,298.38
5XG***********BED,219.75
5XL***********5AP,397.53
5XT***********SU8,345.14
5XU***********85L,213.39
5XX***********4MX,251.82
5XY***********5Z8,244.17
5Y0***********CC3,254.72
5YC***********VYJ,170.71
5YE***********ABH,114.39
5YH***********EDZ,163.9
5YS***********5SC,122.72
5YY***********LRW,257.83
5ZJ***********886,198.27
5ZR***********CHN,388.94
5ZW***********VFD,267.37
600***********WRY,224.72
601***********AJX,133.29
604***********M04,165.35
608***********HJG,251.86
609***********17F,176.42
60R***********01P,166.59
614***********DXC,210.32
616***********7TE,128.17
61L***********1LA,203.51
61R***********ZHN,193.06
61U***********W1J,227.38
623***********H4T,237.98
624***********JVF,255.6
625***********AG6,250.57
626***********ZSL,109.98
62L***********2G3,222.53
63Z***********SN0,168.58
647***********MRN,200.6
64D***********TCS,362.73
64L***********XHZ,147.54
64M***********RJ4,232.86
64N***********A10,317.06
64V***********P0P,265.82
64X***********3N8,131.6
65A***********8TJ,292.13
65H***********9A7,72.14
65J***********RVL,197.85
65W***********SG7,101.4
669***********W6F,174.97
66V***********9CZ,155.27
676***********H5B,346.34
67S***********8G8,141.32
681***********GJE,258.58
68P***********P32,180.87
694***********KMR,257.97
697***********CJT,293.43
69H***********07V,220.16
6AL***********N26,233.09
6AZ***********7V0,176.15
6B1***********K4G,224.7
6C2***********ASA,280.68
6C3***********G3U,284.82
6C4***********K5A,299.25
6C9***********35Z,421.76
6CM***********PNU,348.0
6CU***********22T,188.35
6CV***********TB2,164.21
6DK***********MXH,172.36
6DW***********WE0,351.93
6E4***********CYX,262.68
6E5***********X77,228.15
6E8***********TMS,284.35
6EF***********LLA,218.16
6EM***********2XX,284.83
6ER***********TGA,160.53
6EW***********339,122.56
6EW***********HAV,207.21
6FD***********R99,232.64
6FN***********52S,190.58
6FR***********2R6,189.35
6FW***********A12,344.1
6G2***********N4M,147.06
6GV***********Y6M,164.77
6H4***********YRB,251.34
6HD***********HRK,177.41
6HM***********E92,182.37
6J6***********XGF,228.66
6JE***********XJ1,251.24
6K6***********EPZ,220.44
6KL***********HSZ,233.79
6KM***********X4C,290.46
6KV***********WU7,286.94
6LJ***********DBU,162.36
6LK***********VLF,137.46
6LZ***********ZWM,269.24
6M6***********L9J,183.91
6MJ***********RD9,160.3
6MJ***********SH7,154.9
6MM***********MZ7,220.43
6MP***********BDJ,342.08
6NH***********DTK,197.67
6NP***********SSD,344.51
6NU***********229,125.57
6NW***********KBW,203.57
6P3***********J69,212.78
6P9***********9EK,170.96
6P9***********J1D,182.16
6PM***********7Y9,372.12
6PS***********6JF,193.65
6R6***********7WK,131.67
6R8***********TSE,108.58
6RJ***********010,173.71
6RK***********UK3,212.67
6RX***********3NG,249.52
6SJ***********5RL,126.48
6SS***********D1L,295.81
6SU***********V5M,148.63
6SZ***********NS6,122.2
6T3***********5TY,233.67
6T7***********VMA,329.2
6TF***********FJP,301.55
6TG***********1M8,185.65
6U6***********SM1,342.01
6UA***********ZS5,407.28
6UB***********8EC,173.07
6UG***********PRM,311.73
6UJ***********9FK,269.97
6UP***********92L,152.93
6US***********47C,211.65
6UY***********E5J,297.02
6V8***********5T6,164.25
6W0***********THT,196.0
6W9***********CW7,216.1
6WF***********ZWZ,380.78
6WJ***********RFA,233.19
6WN***********5Z5,188.72
6XA***********ZDZ,356.9
6XT***********8NF,309.43
6XW***********P4Z,146.19
6Y5***********0NY,303.24
6YP***********S1Z,122.02
6YW***********MES,142.19
6Z4***********DSE,325.09
6ZS***********NNM,158.28
707***********YNM,190.58
708***********XPL,198.65
70U***********3V7,351.57
713***********BTZ,148.05
719***********G6F,216.0
71B***********NJ2,493.29
71J***********HK5,106.43
71V***********8KA,368.97
722***********G6L,250.8
723***********TYX,266.73
727***********PB9,169.98
729***********Z6V,282.35
72C***********U0V,305.85
72D***********YC7,206.88
738***********P11,391.12
74B***********CNY,160.73
75B***********89A,339.7
75G***********3EM,302.52
75M***********CML,157.89
75P***********G8V,264.66
764***********241,268.01
76A***********JGZ,362.53
76B***********Y3S,345.31
76X***********15T,208.7
76Y***********P5K,374.77
77F***********ERM,370.7
781***********466,345.2
78M***********58Y,188.11
78V***********AM6,126.44
79K***********DHB,229.16
7A2***********TGK,143.07
7A5***********CY0,175.83
7A8***********4HC,119.74
7B1***********DMP,343.43
7B7***********L55,138.55
7BF***********36L,161.09
7BX***********FAU,278.7
7BY***********PMN,274.17
7C5***********CEB,238.12
7C6***********7GA,131.37
7CW***********G76,138.85
7DJ***********4RC,270.86
7DR***********084,149.83
7E0***********A49,180.02
7E0***********KDU,207.35
7E4***********YS3,265.62
7EA***********MXT,107.54
7EB***********062,191.54
7EG***********WG7,395.97
7EP***********ALT,207.6
7ES***********JYB,191.62
7EU***********LEP,382.85
7F2***********4NT,296.3
7FD***********BXZ,102.13
7FL***********AHC,162.73
7FM***********YLG,238.28
7FS***********W6U,267.76
7GV***********H40,215.3
7GY***********SBK,217.4
7H3***********5Z8,244.8
7HA***********3XR,232.24
7HB***********NGY,153.73
7HG***********MYP,309.6
7K8***********YMM,141.94
7KU***********3ZT,137.21
7KX***********386,383.25
7L6***********ZYA,106.09
7L7***********8E2,238.36
7LH***********7FW,168.5
7LN***********B16,410.56
7LU***********9ZN,214.75
7M2***********RDE,153.41
7MD***********B23,163.94
7MR***********XY0,267.91
7N0***********D24,195.55
7N5***********LX3,310.51
7NA***********65R,152.04
7NC***********AAB,178.73
7NS***********LMA,152.93
7NT***********6X5,143.18
7NU***********FKJ,175.52
7NW***********2VJ,83.61
7NW***********UGZ,253.7
7P4***********MAD,280.12
7PE***********PH2,178.53
7RU***********D8M,308.41
7RZ***********WCT,149.93
7SE***********ZM9,248.02
7SK***********KU9,232.62
7SL***********TWL,304.96
7SP***********9H6,273.14
7TF***********G99,155.14
7TF***********M97,110.07
7TJ***********DGK,340.32
7TP***********HTE,169.95
7U1***********BLD,207.73
7VB***********68G,130.24
7VM***********L55,197.19
7VN***********1SL,248.11
7VP***********YTU,447.61
7VT***********ULH,196.32
7VU***********H6A,115.07
7VZ***********KXC,306.36
7W2***********31W,327.71
7W9***********K9Y,277.69
7WC***********67P,173.3
7WX***********WFE,327.95
7X5***********0KW,263.71
7XF***********X0C,208.41
7XK***********DDC,253.52
7Y5***********XFB,139.36
7Y6***********ABK,195.01
7YD***********F0F,186.28
7YF***********BUT,511.99
7YH***********UTK,133.3
7Z8***********LLX,395.5
7ZF***********5F8,149.19
7ZJ***********W7M,287.56
7ZN***********S13,118.38
7ZR***********V7J,351.61
7ZW***********4ZB,183.98
7ZY***********L0W,479.19
804***********4RG,375.18
80K***********K7P,118.33
80R***********YC8,218.42
818***********DB5,292.06
81D***********BNJ,173.2
81T***********LA8,345.84
82K***********S1R,174.42
83F***********EX7,293.87
83P***********WF9,486.8
83V***********PYB,157.45
84C***********E34,203.79
84U***********MYP,157.25
851***********C6T,330.25
859***********7N4,500.45
85L***********K94,170.55
85N***********BDE,112.22
85U***********2V4,333.08
85U***********93T,271.11
869***********97T,81.74
86R***********F2J,242.18
87K***********H2N,159.22
87P***********1B2,301.19
886***********S9G,257.9
887***********RY6,431.63
888***********V0U,373.09
88G***********T9W,254.97
88K***********YBL,313.01
894***********9KY,122.79
89E***********DLX,214.52
89J***********NYM,126.67
8AH***********MKT,163.93
8B2***********RM1,241.27
8BC***********0FU,143.65
8BF***********RHX,241.67
8BJ***********70F,348.53
8C1***********DYV,251.68
8C3***********GH0,353.8
8CK***********DG5,199.97
8D0***********057,336.9
8D4***********WY1,204.49
8DF***********E6K,163.22
8DH***********9GV,310.01
8DU***********T0Z,307.41
8DY***********BNU,164.47
8E2***********DWN,156.48
8E7***********K2S,211.12
8E9***********82U,253.32
8EV***********519,296.42
8EZ***********V7M,228.51
8F3***********6E2,162.34
8F8***********2UM,246.62
8FJ***********LF4,298.89
8FR***********91V,194.99
8FT***********XLJ,304.06
8G0***********6ZU,370.24
8GA***********RF1,345.26
8GL***********JNL,89.35
8H7***********D95,192.71
8HK***********EEM,141.22
8HP***********XJ2,251.19
8J4***********MBH,191.24
8JM***********L70,280.24
8JU***********LB1,149.78
8JY***********ACE,156.88
8JZ***********4EU,198.21
8K4***********K25,192.63
8KC***********FW9,190.02
8L3***********0UD,259.09
8L6***********RH4,200.24
8LD***********V6V,166.1
8LK***********FEJ,134.94
8LL***********RND,177.44
