Supplier,Supplier_Lot,Part_No,VIN
SUP-09,LOT-9067,888-GHI,87P***********1B2
SUP-02,LOT-4946,843-JKL,HRJ***********7V9
SUP-01,LOT-6639,578-GHI,SKZ***********EXU
SUP-01,LOT-6115,670-JKL,N3M***********ASV
SUP-09,LOT-2290,824-ABC,ZNE***********4BE
SUP-01,LOT-9721,781-JKL,4SV***********M6S
SUP-09,LOT-2449,759-ABC,V5X***********BCU
SUP-02,LOT-8078,565-JKL,676***********H5B
SUP-09,LOT-8601,965-JKL,EZ7***********MUF
SUP-02,LOT-7983,427-ABC,HZU***********2YT
SUP-09,LOT-1462,639-ABC,3F8***********695
SUP-09,LOT-7160,483-JKL,75B***********89A
SUP-01,LOT-6483,451-ABC,NGM***********RTK
SUP-01,LOT-8707,923-DEF,Y4P***********3Y8
SUP-02,LOT-3262,629-ABC,DSZ***********LFH
SUP-09,LOT-3923,118-ABC,RMJ***********1XC
SUP-09,LOT-7533,581-DEF,L29***********Y8R
SUP-01,LOT-4659,946-ABC,12W***********HGP
SUP-02,LOT-2650,254-GHI,FLA***********G7M
SUP-01,LOT-7978,448-GHI,YA9***********RUM
SUP-02,LOT-1814,450-GHI,NTY***********T8R
SUP-01,LOT-7568,343-DEF,L2R***********XF0
SUP-02,LOT-3321,629-ABC,7LH***********7FW
SUP-02,LOT-7287,684-ABC,P8X***********MLT
SUP-02,LOT-6605,413-JKL,SJH***********DH8
SUP-01,LOT-9690,312-ABC,K3K***********TMD
SUP-01,LOT-9756,515-GHI,4GH***********8EA
SUP-02,LOT-5434,743-JKL,R2D***********PD0
SUP-01,LOT-8788,962-GHI,DX8***********6FJ
SUP-09,LOT-1285,241-JKL,EDX***********VCY
SUP-02,LOT-5372,813-GHI,0YJ***********RTG
SUP-02,LOT-8813,894-GHI,0LH***********DDA
SUP-01,LOT-8112,485-DEF,F1M***********E9F
SUP-09,LOT-7170,931-GHI,MC1***********6ZH
SUP-01,LOT-4413,640-JKL,KV0***********ZBX
SUP-09,LOT-4859,756-GHI,LKU***********UJ3
SUP-02,LOT-7667,422-DEF,N0Z***********UDM
SUP-02,LOT-8587,526-GHI,1W3***********66M
SUP-02,LOT-6764,911-DEF,AJ1***********67P
SUP-09,LOT-3477,749-JKL,T0Z***********ZCL
SUP-02,LOT-6379,858-ABC,TY6***********N9C
SUP-02,LOT-6126,738-DEF,MB5***********DMN
SUP-02,LOT-5675,610-GHI,5MT***********L9E
SUP-02,LOT-3314,105-DEF,7EA***********MXT
SUP-09,LOT-3992,910-ABC,WUX***********UM3
SUP-01,LOT-8610,593-GHI,XGJ***********8KM
SUP-09,LOT-3466,317-ABC,N9H***********BEP
SUP-09,LOT-1625,771-ABC,UVL***********30H
SUP-09,LOT-7219,764-ABC,1J9***********MM7
SUP-02,LOT-2154,366-JKL,SBE***********MUL
SUP-02,LOT-2207,370-JKL,YTV***********7SV
SUP-09,LOT-6230,831-GHI,XS1***********MU3
SUP-01,LOT-6317,357-GHI,1V1***********0Z8
SUP-09,LOT-9130,347-JKL,9VU***********6M1
SUP-01,LOT-1813,238-JKL,SX5***********W26
SUP-02,LOT-5732,622-GHI,C2E***********99T
SUP-02,LOT-2621,394-DEF,LKK***********G1A
SUP-09,LOT-3608,714-ABC,JYK***********XFY
SUP-09,LOT-4967,211-GHI,6LJ***********DBU
SUP-09,LOT-4052,922-GHI,0AG***********RS0
SUP-01,LOT-3936,980-DEF,K5N***********51T
SUP-01,LOT-8452,846-DEF,FXS***********ZWG
SUP-01,LOT-1304,546-DEF,RHH***********0P8
SUP-02,LOT-1774,665-DEF,3VY***********DTS
SUP-09,LOT-5893,532-DEF,M9B***********FX6
SUP-09,LOT-6337,627-ABC,590***********37N
SUP-01,LOT-4129,528-GHI,GS3***********FTU
SUP-01,LOT-1386,283-DEF,FSY***********916
SUP-01,LOT-2653,261-ABC,SKC***********CXC
SUP-09,LOT-5667,951-ABC,KVD***********USZ
SUP-02,LOT-7465,966-DEF,3EW***********LVM
SUP-02,LOT-9520,455-DEF,XDG***********FLA
SUP-02,LOT-9050,948-ABC,SUL***********CE9
SUP-09,LOT-8191,964-ABC,YJZ***********U7L
SUP-01,LOT-9330,378-GHI,X75***********B4W
SUP-02,LOT-6028,295-GHI,NJZ***********W7V
SUP-09,LOT-7749,884-JKL,FMP***********048
SUP-02,LOT-8165,778-GHI,DJG***********DC2
SUP-09,LOT-2832,122-ABC,7MD***********B23
SUP-01,LOT-5397,153-JKL,MUS***********2B4
SUP-01,LOT-2968,521-JKL,XYK***********B9B
SUP-01,LOT-1633,202-ABC,ME3***********Z60
SUP-02,LOT-8288,815-ABC,NHP***********40M
SUP-09,LOT-6847,231-ABC,G7F***********JE9
SUP-01,LOT-3630,268-ABC,1N7***********SLA
SUP-02,LOT-3892,481-JKL,39Y***********EGR
SUP-02,LOT-5342,919-DEF,T1W***********Z41
SUP-02,LOT-4844,423-ABC,Z2A***********0DH
SUP-09,LOT-9606,438-DEF,0Y2***********9AH
SUP-09,LOT-6272,404-JKL,CVV***********UE9
SUP-09,LOT-6086,790-ABC,WL7***********VZF
SUP-01,LOT-6433,801-GHI,P3K***********7GR
SUP-01,LOT-8036,144-JKL,C7Y***********LF0
SUP-09,LOT-1953,856-ABC,D0L***********RZB
SUP-02,LOT-5560,385-GHI,2AT***********7PB
SUP-02,LOT-6526,306-ABC,CA3***********SWJ
SUP-02,LOT-7877,295-DEF,EWK***********MXT
SUP-02,LOT-8935,344-ABC,DSX***********AK6
SUP-09,LOT-8212,394-GHI,RYB***********EVY
SUP-09,LOT-4371,992-ABC,0DP***********GV6
SUP-02,LOT-8802,865-ABC,W4P***********LV9
SUP-01,LOT-9409,981-GHI,7W9***********K9Y
SUP-09,LOT-9914,154-JKL,WCA***********27S
SUP-09,LOT-7453,640-DEF,65W***********SG7
SUP-01,LOT-1369,505-ABC,6KM***********X4C
SUP-01,LOT-5571,297-GHI,JS0***********PET
SUP-02,LOT-5350,726-GHI,291***********DM3
SUP-09,LOT-5263,158-GHI,7SE***********ZM9
SUP-01,LOT-8838,135-JKL,YZX***********37T
SUP-02,LOT-5808,611-JKL,MZB***********3T4
SUP-02,LOT-6468,825-DEF,50X***********2Y2
SUP-02,LOT-4119,815-DEF,JXB***********EG8
SUP-02,LOT-3569,210-ABC,4SJ***********EDP
SUP-02,LOT-6466,201-JKL,5C0***********SLB
SUP-02,LOT-3885,766-JKL,SHT***********R3T
SUP-02,LOT-6348,713-JKL,FR0***********7WH
SUP-01,LOT-3659,518-JKL,7E0***********KDU
SUP-02,LOT-3123,829-DEF,DPK***********HZV
SUP-02,LOT-1621,943-ABC,LLS***********P24
SUP-01,LOT-5234,832-GHI,66V***********9CZ
SUP-01,LOT-6679,332-ABC,RM1***********LNY
SUP-01,LOT-9480,168-DEF,Z3V***********NX0
SUP-02,LOT-7587,155-ABC,0FF***********68M
SUP-09,LOT-5703,794-JKL,3S4***********BY8
SUP-02,LOT-6977,631-ABC,V47***********72E
SUP-02,LOT-4259,497-ABC,PUF***********T3D
SUP-02,LOT-3608,440-GHI,764***********241
SUP-01,LOT-6033,399-GHI,LYY***********FP5
SUP-09,LOT-6609,510-JKL,9ZS***********9SU
SUP-01,LOT-8838,766-GHI,NL4***********7KC
SUP-02,LOT-1584,742-GHI,DZ8***********TX7
SUP-09,LOT-3127,121-JKL,71J***********HK5
SUP-02,LOT-7947,277-GHI,9AB***********1MG
SUP-09,LOT-3906,797-JKL,E1A***********PPS
SUP-01,LOT-1691,642-JKL,KDV***********NNV
SUP-01,LOT-9913,511-GHI,VKD***********KD9
SUP-09,LOT-5155,908-GHI,P9N***********0ER
SUP-02,LOT-2127,644-GHI,21N***********ZCH
SUP-01,LOT-2018,378-GHI,1DP***********1BG
SUP-01,LOT-8349,408-ABC,BNC***********HKG
SUP-09,LOT-8013,768-ABC,D82***********C20
SUP-01,LOT-6199,515-JKL,U5W***********65V
SUP-02,LOT-8243,297-ABC,9C4***********6SG
SUP-02,LOT-8461,773-JKL,6CV***********TB2
SUP-09,LOT-8998,169-JKL,SPU***********ABP
SUP-02,LOT-9476,331-DEF,S43***********C6H
SUP-02,LOT-2284,886-GHI,5EX***********C81
SUP-01,LOT-5803,503-GHI,C86***********688
SUP-09,LOT-6018,369-GHI,TE7***********MVN
SUP-01,LOT-6058,181-GHI,55W***********ADT
SUP-02,LOT-9521,600-JKL,G7V***********34V
SUP-09,LOT-8584,179-JKL,WWD***********0WT
SUP-09,LOT-5296,220-DEF,FDE***********K98
SUP-09,LOT-7956,410-ABC,DFP***********C1T
SUP-01,LOT-5017,673-ABC,XEX***********7DJ
SUP-02,LOT-5479,491-ABC,95Y***********R9Z
SUP-09,LOT-4515,758-ABC,4DJ***********24Y
SUP-01,LOT-3274,620-ABC,0GE***********R15
SUP-02,LOT-1704,270-ABC,3NJ***********GYK
SUP-01,LOT-9211,372-JKL,K9X***********89L
SUP-09,LOT-2571,682-JKL,355***********SZC
SUP-02,LOT-2731,105-JKL,E7J***********FME
SUP-02,LOT-1082,448-GHI,85N***********BDE
SUP-09,LOT-9935,429-ABC,FME***********UFH
SUP-09,LOT-4437,504-ABC,8T7***********WDK
SUP-01,LOT-7441,226-JKL,KNY***********0SA
SUP-09,LOT-2167,955-ABC,34N***********HVF
SUP-01,LOT-9172,319-ABC,CS2***********990
SUP-02,LOT-3184,566-DEF,0GB***********M2G
SUP-09,LOT-1634,403-DEF,7YD***********F0F
SUP-09,LOT-9289,162-GHI,XCD***********DC5
SUP-01,LOT-8114,394-JKL,MNZ***********6RW
SUP-01,LOT-1648,821-DEF,JC3***********26L
SUP-02,LOT-1525,402-ABC,VAV***********4UV
SUP-09,LOT-8288,447-ABC,VZZ***********XBG
SUP-02,LOT-9948,825-ABC,BA1***********WUE
SUP-02,LOT-9086,505-DEF,H7W***********W89
SUP-09,LOT-1726,360-DEF,NNM***********9CK
SUP-09,LOT-8163,722-ABC,WBG***********6N6
SUP-09,LOT-1909,518-DEF,2M6***********MJL
SUP-02,LOT-8381,389-ABC,NE6***********F1U
SUP-01,LOT-1382,146-GHI,P2H***********47W
SUP-09,LOT-4724,487-ABC,4CX***********T1C
SUP-09,LOT-5633,552-ABC,ZB0***********612
SUP-09,LOT-6914,207-GHI,V5F***********88J
SUP-02,LOT-7064,577-DEF,L7M***********UB9
SUP-09,LOT-7508,371-DEF,XBE***********SCF
SUP-01,LOT-7055,592-GHI,PZR***********R7U
SUP-09,LOT-2822,418-ABC,5JJ***********MXL
SUP-01,LOT-2889,808-GHI,3PM***********TNE
SUP-01,LOT-6457,829-DEF,48P***********UKU
SUP-01,LOT-3125,908-ABC,53E***********CXZ
SUP-09,LOT-5421,149-JKL,PNN***********2PU
SUP-02,LOT-9620,413-DEF,43L***********VLC
SUP-01,LOT-9064,393-ABC,FBZ***********60P
SUP-01,LOT-6084,175-ABC,78M***********58Y
SUP-09,LOT-8896,469-DEF,GM5***********SBC
SUP-09,LOT-2134,742-ABC,LW1***********1R7
SUP-02,LOT-1737,218-GHI,RED***********GKN
SUP-02,LOT-4190,232-ABC,LT6***********6LM
SUP-09,LOT-9134,477-JKL,J8M***********M07
SUP-09,LOT-3326,857-ABC,EDK***********T26
SUP-09,LOT-7323,191-GHI,AET***********000
SUP-09,LOT-4748,106-DEF,YSF***********8BL
SUP-09,LOT-1046,976-ABC,0EB***********8BZ
SUP-09,LOT-9926,467-DEF,TZA***********AM3
SUP-09,LOT-4032,500-DEF,18Z***********E1T
SUP-09,LOT-2146,637-ABC,REK***********8TB
SUP-02,LOT-3217,213-GHI,RXT***********PP1
SUP-01,LOT-7502,865-GHI,UP7***********T0J
SUP-09,LOT-2597,924-ABC,6JE***********XJ1
SUP-02,LOT-5050,181-DEF,521***********N7B
SUP-01,LOT-8917,626-JKL,ZT3***********965
SUP-09,LOT-3789,736-JKL,GNB***********AXE
SUP-09,LOT-8384,203-GHI,KAX***********4GK
SUP-09,LOT-6449,178-GHI,57W***********L5G
SUP-01,LOT-4388,642-DEF,EZE***********81Y
SUP-02,LOT-1122,175-GHI,H8K***********TCH
SUP-09,LOT-8942,757-ABC,KE5***********960
SUP-01,LOT-6471,399-JKL,YVT***********PE2
SUP-02,LOT-1487,126-ABC,NRC***********LCD
SUP-09,LOT-8536,691-ABC,0RH***********2RS
SUP-09,LOT-3519,353-DEF,XBN***********AZD
SUP-09,LOT-5523,943-JKL,XVP***********JDB
SUP-01,LOT-6489,649-JKL,G89***********FTL
SUP-01,LOT-1438,201-DEF,0VA***********47P
SUP-01,LOT-4529,860-DEF,FHB***********36A
SUP-09,LOT-4256,909-JKL,GVN***********6VY
SUP-02,LOT-7879,375-ABC,S58***********1VX
SUP-09,LOT-4235,599-GHI,DX6***********XMT
SUP-01,LOT-3825,641-ABC,NXT***********4RC
SUP-09,LOT-3652,835-GHI,SSG***********N0F
SUP-09,LOT-1293,450-ABC,RAM***********WD9
SUP-09,LOT-5816,935-GHI,CN1***********05D
SUP-09,LOT-3988,251-GHI,CVP***********R6H
SUP-01,LOT-6354,103-GHI,5LV***********NUG
SUP-09,LOT-6447,449-GHI,WCK***********03Y
SUP-09,LOT-9482,400-ABC,J4V***********5SJ
SUP-09,LOT-2131,905-DEF,UTF***********247
SUP-09,LOT-6504,705-GHI,Y4Y***********8JM
SUP-02,LOT-8264,489-ABC,VHM***********S7R
SUP-09,LOT-5525,359-GHI,J5U***********ZJP
SUP-02,LOT-8056,755-JKL,9PB***********0BH
SUP-01,LOT-5363,790-JKL,EMX***********1EH
SUP-09,LOT-4451,987-GHI,948***********LBT
SUP-01,LOT-4744,233-DEF,5CJ***********VPE
SUP-09,LOT-6905,148-JKL,EP9***********X8E
SUP-01,LOT-3318,957-DEF,TWR***********XN9
SUP-09,LOT-6846,493-ABC,78V***********AM6
SUP-01,LOT-2135,339-JKL,C7V***********0YF
SUP-09,LOT-5269,525-ABC,J4M***********VKN
SUP-01,LOT-8464,381-DEF,KGD***********HCT
SUP-09,LOT-6751,270-ABC,G4F***********DFG
SUP-02,LOT-1163,384-JKL,B6M***********WRN
SUP-02,LOT-3902,481-ABC,H8E***********1H2
SUP-09,LOT-8479,607-GHI,ZBD***********6DY
SUP-09,LOT-3050,136-GHI,0JE***********JLR
SUP-02,LOT-9456,595-ABC,FGR***********M0N
SUP-01,LOT-3123,938-GHI,XWE***********WPX
SUP-09,LOT-5051,147-JKL,R8E***********RVH
SUP-02,LOT-4822,608-ABC,2YV***********YJB
SUP-01,LOT-3250,619-GHI,B2H***********UE3
SUP-01,LOT-8180,796-DEF,W9T***********PB7
SUP-01,LOT-7866,219-JKL,9ER***********4SW
SUP-02,LOT-4405,366-GHI,HTL***********EUC
SUP-09,LOT-1874,649-JKL,1RR***********AYE
SUP-02,LOT-6342,305-DEF,609***********17F
SUP-01,LOT-8370,753-JKL,604***********M04
SUP-01,LOT-9990,791-JKL,UR5***********L0G
SUP-09,LOT-4678,451-GHI,P05***********3A0
SUP-01,LOT-2623,246-ABC,A1U***********22B
SUP-01,LOT-3832,900-DEF,3N7***********J8W
SUP-02,LOT-4369,159-DEF,44R***********PKN
SUP-09,LOT-5248,926-GHI,6AZ***********7V0
SUP-09,LOT-9294,444-GHI,RRD***********ECM
SUP-01,LOT-2919,376-ABC,3TW***********KX4
SUP-09,LOT-4023,658-GHI,J7A***********RTY
SUP-02,LOT-4800,201-GHI,8EZ***********V7M
SUP-01,LOT-7574,192-GHI,N13***********9L2
SUP-09,LOT-7434,385-JKL,81D***********BNJ
SUP-01,LOT-8130,941-GHI,WYH***********T48
SUP-02,LOT-5148,813-DEF,F46***********7BX
SUP-02,LOT-3685,522-GHI,KLX***********3KN
SUP-01,LOT-2911,156-JKL,F9W***********XNN
SUP-01,LOT-5861,371-GHI,ZM0***********11S
SUP-02,LOT-1160,236-ABC,4VC***********BNE
SUP-09,LOT-1479,367-GHI,1ND***********VLX
SUP-09,LOT-7272,891-DEF,WD4***********U3D
SUP-02,LOT-7155,771-JKL,VEH***********L45
SUP-02,LOT-8438,733-ABC,20P***********J7Z
SUP-01,LOT-6652,654-GHI,SX6***********FJV
SUP-01,LOT-8254,123-DEF,J7K***********ZWW
SUP-01,LOT-4563,234-GHI,DHS***********HY4
SUP-09,LOT-1581,830-ABC,6NH***********DTK
SUP-09,LOT-2001,358-DEF,TDN***********3DK
SUP-02,LOT-5238,704-ABC,K16***********UL1
SUP-01,LOT-7453,335-ABC,TJZ***********4Z8
SUP-01,LOT-7989,152-ABC,R13***********1HH
SUP-02,LOT-8658,919-GHI,W5X***********NC0
SUP-02,LOT-7762,728-DEF,C4K***********2NC
SUP-01,LOT-5133,746-DEF,TGU***********KJJ
SUP-01,LOT-9655,976-GHI,Z2T***********3KS
SUP-09,LOT-1017,750-GHI,077***********P7M
SUP-02,LOT-8837,175-GHI,EFD***********3SW
SUP-02,LOT-3965,763-JKL,5EK***********RVU
SUP-02,LOT-8879,824-ABC,V9U***********9M7
SUP-09,LOT-9465,820-DEF,GK8***********LX3
SUP-02,LOT-6484,269-DEF,J3E***********38R
SUP-01,LOT-6635,239-JKL,2Z9***********CYS
SUP-01,LOT-3746,401-DEF,C8E***********59R
SUP-09,LOT-5172,835-JKL,RK2***********YHY
SUP-01,LOT-7597,533-ABC,7VU***********H6A
SUP-01,LOT-8179,720-DEF,7BY***********PMN
SUP-09,LOT-9035,986-GHI,8G0***********6ZU
SUP-01,LOT-2663,380-GHI,L1J***********JXJ
SUP-01,LOT-6526,825-ABC,FN5***********88P
SUP-02,LOT-9113,694-JKL,JPU***********AZR
SUP-01,LOT-1466,400-ABC,V71***********L4X
SUP-09,LOT-6192,958-DEF,ETZ***********BH7
SUP-09,LOT-8423,858-DEF,Y0H***********HWT
SUP-01,LOT-1287,988-GHI,N6R***********D9G
SUP-02,LOT-7727,874-GHI,4N3***********2LX
SUP-02,LOT-9153,723-ABC,HRM***********5RX
SUP-09,LOT-4687,290-JKL,XW3***********E7E
SUP-02,LOT-4810,235-ABC,104***********RN5
SUP-02,LOT-1846,148-ABC,UKK***********Y4R
SUP-02,LOT-6839,754-DEF,1V6***********P5U
SUP-02,LOT-8667,344-ABC,YWN***********UB4
SUP-09,LOT-7828,297-JKL,CFL***********G9M
SUP-02,LOT-8522,804-DEF,9K3***********5AF
SUP-09,LOT-5426,313-GHI,FV9***********BYH
SUP-09,LOT-7652,789-DEF,C0X***********K8Z
SUP-02,LOT-1922,567-DEF,HXC***********UTF
SUP-02,LOT-4320,919-ABC,HLL***********G7D
SUP-01,LOT-9052,340-ABC,923***********DV3
SUP-01,LOT-1887,928-DEF,VGK***********AJ3
SUP-02,LOT-9909,420-JKL,R54***********0HB
SUP-01,LOT-2446,381-GHI,5MF***********MEV
SUP-09,LOT-3659,765-DEF,PVY***********KMH
SUP-09,LOT-8662,832-DEF,GLV***********6TA
SUP-09,LOT-8497,781-JKL,HVL***********LWK
SUP-01,LOT-7572,338-GHI,45W***********ZVB
SUP-02,LOT-1607,264-JKL,G4X***********DXR
SUP-09,LOT-5011,241-DEF,EFA***********0WY
SUP-09,LOT-8713,988-DEF,EWA***********RK3
SUP-01,LOT-5320,721-ABC,XUT***********0K8
SUP-02,LOT-1847,666-JKL,AHH***********3UA
SUP-09,LOT-7428,945-ABC,V22***********A32
SUP-01,LOT-8507,957-ABC,NB1***********4XT
SUP-01,LOT-9568,279-JKL,HTE***********YJY
SUP-01,LOT-2269,481-GHI,ZBZ***********33J
SUP-01,LOT-7984,222-ABC,DJ0***********G89
SUP-01,LOT-1676,715-GHI,B67***********3RU
SUP-01,LOT-2985,564-GHI,EBP***********9A1
SUP-09,LOT-1019,619-GHI,SPE***********AZU
SUP-01,LOT-2057,758-JKL,1CJ***********G0L
SUP-01,LOT-4468,287-GHI,CTF***********LY3
SUP-01,LOT-7970,213-ABC,JG5***********2TL
SUP-02,LOT-2820,224-GHI,J4N***********MKT
SUP-01,LOT-1264,685-DEF,BNT***********LVF
SUP-09,LOT-2924,854-JKL,207***********WTZ
SUP-02,LOT-8276,928-JKL,90M***********M6K
SUP-09,LOT-1185,963-JKL,1VA***********HVB
SUP-09,LOT-6966,545-DEF,HSM***********MZ2
SUP-09,LOT-8114,554-GHI,VP8***********XN1
SUP-01,LOT-9134,966-ABC,6SZ***********NS6
SUP-02,LOT-4028,169-GHI,37C***********2S9
SUP-09,LOT-3543,625-ABC,F0D***********MAM
SUP-01,LOT-9255,408-ABC,J9A***********P8R
SUP-09,LOT-3727,635-JKL,0UE***********98Y
SUP-01,LOT-3490,605-GHI,H8G***********UCR
SUP-02,LOT-2759,127-JKL,WKX***********SV1
SUP-09,LOT-2096,576-DEF,729***********Z6V
SUP-02,LOT-7371,631-GHI,6GV***********Y6M
SUP-01,LOT-3016,705-GHI,09T***********LRE
SUP-02,LOT-4584,169-GHI,G02***********21W
SUP-09,LOT-6723,634-DEF,4L6***********K8Y
SUP-09,LOT-5989,740-JKL,0EZ***********58J
SUP-01,LOT-4837,202-JKL,5FH***********XPT
SUP-02,LOT-3411,375-ABC,B61***********14J
SUP-09,LOT-2982,478-JKL,3SE***********780
SUP-09,LOT-6742,276-JKL,31P***********HXE
SUP-02,LOT-6043,422-JKL,2GR***********60F
SUP-01,LOT-2756,998-GHI,0AL***********8JD
SUP-09,LOT-4760,180-DEF,J9C***********PTD
SUP-02,LOT-4436,786-GHI,NDS***********GX8
SUP-09,LOT-1752,700-ABC,0P6***********AB1
SUP-02,LOT-9017,531-ABC,ZDM***********1E0
SUP-02,LOT-7553,881-DEF,LHY***********ZCY
SUP-02,LOT-1823,934-JKL,HWM***********SKX
SUP-01,LOT-1628,644-ABC,E6X***********3HX
SUP-01,LOT-9249,537-JKL,V7Z***********X6B
SUP-01,LOT-2124,668-ABC,SJW***********RKL
SUP-09,LOT-7418,447-ABC,5GE***********UXC
SUP-01,LOT-1757,455-JKL,CCW***********S74
SUP-01,LOT-7740,316-ABC,436***********N50
SUP-09,LOT-8830,779-JKL,12M***********ZY3
SUP-02,LOT-3415,191-JKL,2U5***********GGG
SUP-02,LOT-4338,377-JKL,KEA***********ZCN
SUP-02,LOT-4103,995-JKL,JZK***********HC7
SUP-02,LOT-4860,187-ABC,EC6***********FWT
SUP-01,LOT-4703,481-JKL,6T3***********5TY
SUP-02,LOT-3443,192-DEF,HLC***********RNG
SUP-01,LOT-2187,511-JKL,B2M***********UZL
SUP-01,LOT-3659,858-GHI,YR5***********BW7
SUP-09,LOT-8458,787-JKL,V5K***********FJ9
SUP-02,LOT-7014,312-ABC,62L***********2G3
SUP-01,LOT-8539,798-JKL,6K6***********EPZ
SUP-09,LOT-2247,333-DEF,20W***********136
SUP-01,LOT-8683,393-GHI,79K***********DHB
SUP-09,LOT-8206,199-JKL,9VJ***********EG3
SUP-01,LOT-8992,809-JKL,1VN***********2BM
SUP-01,LOT-7987,126-ABC,EH1***********FVL
SUP-09,LOT-5600,140-DEF,6RK***********UK3
SUP-02,LOT-4950,458-ABC,UA7***********YED
SUP-01,LOT-6903,872-GHI,8EV***********519
SUP-09,LOT-9785,750-ABC,W3F***********XPP
SUP-09,LOT-6856,878-DEF,39M***********YHA
SUP-09,LOT-7538,335-JKL,VMY***********8G0
SUP-02,LOT-3673,183-GHI,N27***********JWP
SUP-01,LOT-5953,672-DEF,20N***********RN0
SUP-02,LOT-4219,777-DEF,1MM***********SVV
SUP-09,LOT-1888,595-JKL,H64***********Y1R
SUP-09,LOT-5436,568-JKL,UVW***********2UA
SUP-02,LOT-4062,723-JKL,TW7***********V18
SUP-09,LOT-8248,577-ABC,PHS***********BE0
SUP-01,LOT-8995,294-JKL,ET8***********LX5
SUP-02,LOT-1828,264-DEF,2UC***********RHP
SUP-01,LOT-3013,408-DEF,1TC***********0CE
SUP-09,LOT-5280,843-GHI,4XB***********7RD
SUP-02,LOT-7254,827-DEF,DMC***********LTD
SUP-02,LOT-7803,846-ABC,DV8***********GP5
SUP-09,LOT-3160,250-JKL,C3S***********BZP
