Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift,Temp_C,Shift_Derived
373,GA-2,STN-01,2026-03-10 09:06:00,700-ABC,BOM-1,54.289139999999996,9.79804,47.77,UNKNOWN,automated,TL-015,SUP-09,LKK***********808,WO-63927,False,Visual Defect,0.9998,Morning,79.78404,Morning
408,GA-1,STN-01,2026-03-10 09:23:00,985-DEF,BOM-2,53.8836,10.245811442518512,47.56,REJECT,human,TL-018,SUP-09,WTM***********ZDL,WO-78133,False,Temperature High,0.996,Morning,79.3812,Morning
425,GA-2,STN-01,2026-03-10 09:32:00,451-GHI,BOM-2,44.96616,9.001754023083606,73.7,REPAIR,Automated,TL-009,SUP-02,GVD***********XBW,WO-51157,False,,0.9861,Morning,75.43665,Morning
452,GA-2,STN-01,2026-03-10 09:45:00,189-GHI,BOM-3,51.38463,12.42375,60.81,,human,TL-004,SUP-02,UY5***********1S7,WO-99084,False,Torque Out of Spec,0.9939,Morning,95.81196,Morning
457,GA-2,STN-01,2026-03-10 09:48:00,643-ABC,BOM-2,54.44712,10.417679999999999,63.6,UNKNOWN,Automated,TL-009,SUP-01,XG7***********CVN,WO-15719,False,Torque Out of Spec,0.9828,Morning,77.24808,Morning
477,GA-1,STN-01,2026-03-10 09:58:00,468-DEF,BOM-1,55.128569999999996,7.47675,85.92,REJECT,automated,TL-021,SUP-09,XBF***********SL9,WO-23211,False,Torque Out of Spec,0.9969,Morning,96.99837,Morning
416,GA-2,STN-01,2026-03-10 10:10:00,343-DEF,BOM-2,50.3472,10.661760000000001,60.26,REPAIR,Automated,TL-007,sup-02,BSG***********987,WO-57955,False,Visual Defect,0.9872,Morning,74.23744,Morning
530,GA-2,STN-01,2026-03-10 10:24:00,776-DEF,BOM-2,58.1179,9.75335,59.58,REPAIR,Automated,TL-021,SUP-09,2MW***********R30,WO-26784,False,,1.0055,Morning,81.74715,Morning
533,GA-1,STN-01,2026-03-10 10:26:00,862-GHI,BOM-3,47.60402,,59.71,REPAIR,automated,TL-016,sup-01,HF9***********6ZA,WO-57940,False,Torque Out of Spec,0.9959,Morning,85.04986000000001,Morning
545,GA-1,STN-01,2026-03-10 10:32:00,542-DEF,BOM-1,48.524680000000004,9.76472,57.37,REJECT,automated,TL-009,SUP-01,HJE***********C1X,WO-86045,False,,0.9964,Morning,74.53071999999999,Morning
570,GA-2,STN-01,2026-03-10 10:44:00,455-DEF,BOM-1,51.454809999999995,8.39047,54.29,REJECT,human,TL-023,SUP-02,Y67***********LJC,WO-55022,False,Leak Detected,1.0109,Morning,94.82242,Morning
605,GA-1,STN-01,2026-03-10 11:02:00,672-DEF,BOM-2,45.37728,8.435519999999999,69.27,REJECT,human,TL-018,sup-02,HS5***********ZLB,WO-90993,False,Temperature High,0.9696,Morning,77.0832,Morning
610,GA-2,STN-01,2026-03-10 11:04:00,214-GHI,BOM-3,51.88315000000001,11.76338959445111,58.14,REJECT,Automated,TL-013,sup-01,HHB***********R99,WO-14859,False,Temperature High,0.9845,Morning,70.6871,Morning
618,GA-2,STN-01,2026-03-10 11:08:00,212-DEF,BOM-1,52.290560000000006,9.1917,65.91,REPAIR,Automated,TL-012,sup-01,6YL***********ZEC,WO-92322,False,Torque Out of Spec,1.0213,Morning,70.36757000000001,Morning
658,GA-1,STN-01,2026-03-10 11:28:00,560-ABC,BOM-3,50.425,8.316206787186806,63.49,OK,automated,TL-007,SUP-02,MYC***********5SG,WO-77200,False,,1.0085,Morning,63.1321,Morning
671,GA-1,STN-01,2026-03-10 11:34:00,506-ABC,BOM-2,54.01319,9.92079,56.64,OK,AUTO,TL-003,sup-02,63S***********DM2,WO-86395,False,Leak Detected,1.0021,Morning,73.25350999999999,Morning
689,GA-1,STN-01,2026-03-10 11:44:00,946-DEF,BOM-1,48.052980000000005,6.79990485252141,62.09,,HUMAN,TL-014,SUP-09,T2H***********GWY,WO-82086,False,Torque Out of Spec,1.0074,Morning,87.24084,Morning
693,GA-1,STN-01,2026-03-10 11:46:00,352-DEF,BOM-2,56.2248,9.234,70.34,,human,TL-008,sup-02,76N***********A13,WO-91744,False,Visual Defect,1.026,Morning,87.8256,Morning
790,GA-2,STN-01,2026-03-10 12:34:00,672-DEF,BOM-2,48.84084000000001,10.721160000000001,63.76,REPAIR,Human,TL-019,SUP-09,BG0***********JEL,WO-83202,False,Visual Defect,0.9927,Morning,84.08169000000001,Morning
826,GA-1,STN-01,2026-03-10 12:52:00,350-GHI,BOM-2,49.15311,10.10533,73.84,REJECT,Human,TL-024,sup-01,KHK***********0Z3,WO-97739,False,Visual Defect,0.9811,Morning,83.78594,Morning
846,GA-2,STN-01,2026-03-10 13:02:00,629-GHI,BOM-2,51.3856,8.002316634261366,54.87,REPAIR,automated,TL-014,SUP-02,0WE***********CZ7,WO-58422,False,Temperature High,0.992,Morning,79.0624,Morning
904,GA-2,STN-01,2026-03-10 13:31:00,918-DEF,BOM-1,57.25152,10.8768,56.37,REPAIR,Human,TL-010,SUP-09,3S0***********YG1,WO-88013,False,Temperature High,0.9888,Morning,85.33344,Morning
936,GA-2,STN-01,2026-03-10 13:47:00,299-ABC,BOM-2,53.545379999999994,9.81834,78.51,,Human,TL-001,sup-09,VZP***********57C,WO-10621,False,Torque Out of Spec,1.0122,Morning,89.5797,Morning
896,GA-2,STN-01,2026-03-10 14:10:00,416-DEF,BOM-2,53.55504,8.05266,56.38,REJECT,HUMAN,TL-013,sup-01,R0C***********20J,WO-97475,False,,0.9702,Evening,73.8969,Evening
996,GA-2,STN-01,2026-03-10 14:17:00,422-GHI,BOM-3,50.712199999999996,9.443187302637929,77.9,REPAIR,AUTO,TL-017,SUP-09,J2U***********SMA,WO-11621,False,Torque Out of Spec,0.979,Evening,75.9704,Evening
1015,GA-2,STN-01,2026-03-10 14:27:00,913-DEF,BOM-2,43.10656,9.665917897378618,60.9,OK,Human,TL-004,SUP-09,64Z***********UAV,WO-68364,False,Leak Detected,0.9622,Evening,85.92446,Evening
1060,GA-2,STN-01,2026-03-10 14:49:00,763-GHI,BOM-1,51.766740000000006,8.826130000000001,55.07,REPAIR,AUTO,TL-008,sup-09,99S***********W84,WO-65242,False,Temperature High,0.9917,Evening,74.47667,Evening
1088,GA-1,STN-01,2026-03-10 15:03:00,174-DEF,BOM-2,42.211169999999996,11.17648,81.46,REPAIR,AUTO,TL-024,SUP-02,UTC***********8SB,WO-96410,False,Torque Out of Spec,0.9979,Evening,72.68038333333332,Evening
1090,GA-1,STN-01,2026-03-10 15:04:00,552-ABC,BOM-3,48.17232,9.218160000000001,37.68,REJECT,HUMAN,TL-023,SUP-09,RKB***********259,WO-86853,False,,0.9912,Evening,57.09312,Evening
1115,GA-1,STN-01,2026-03-10 15:17:00,413-DEF,BOM-3,52.7422,7.020849708352294,56.36,OK,AUTO,TL-004,sup-02,LHW***********NDR,WO-59535,False,Torque Out of Spec,1.0444,Evening,84.53837777777778,Evening
1134,GA-2,STN-01,2026-03-10 15:26:00,382-ABC,BOM-2,56.74068,7.77816,62.17,REJECT,human,TL-008,SUP-02,MJ3***********PNR,WO-76552,False,Visual Defect,0.9972,Evening,90.2466,Evening
1171,GA-2,STN-01,2026-03-10 15:45:00,118-ABC,BOM-2,44.273419999999994,9.79412,59.81,REJECT,AUTO,TL-023,sup-09,U7P***********XVN,WO-90293,False,Torque Out of Spec,0.9994,Evening,87.44749999999999,Evening
1232,GA-2,STN-01,2026-03-10 16:15:00,831-GHI,BOM-2,44.3778,9.34459934637819,51.08,REJECT,human,TL-024,SUP-09,A6W***********RL6,WO-78289,False,Leak Detected,0.9995,Evening,79.76010000000001,Evening
1240,GA-1,STN-01,2026-03-10 16:19:00,594-GHI,BOM-1,57.43586,11.52692,54.55,,automated,TL-009,SUP-01,NEX***********YR3,WO-25375,False,Leak Detected,0.9937,Evening,84.96135,Evening
1241,GA-1,STN-01,2026-03-10 16:20:00,441-ABC,BOM-1,56.60304,10.337080000000002,77.41,UNKNOWN,Automated,TL-022,sup-09,WE9***********69F,WO-77441,False,Temperature High,1.0036,Evening,84.60348,Evening
1261,GA-2,STN-01,2026-03-10 16:30:00,325-DEF,BOM-3,53.2235,9.677,56.09,REPAIR,Human,TL-022,sup-02,LE4***********HVP,WO-30791,False,,0.9677,Evening,91.15734,Evening
1342,GA-2,STN-01,2026-03-10 17:10:00,832-GHI,BOM-3,51.79782,9.544319999999999,53.66,,Human,TL-018,sup-02,NA3***********0SF,WO-93028,False,Temperature High,0.9942,Evening,69.20736666666667,Evening
1343,GA-1,STN-01,2026-03-10 17:11:00,865-GHI,BOM-3,54.230579999999996,10.18122,70.3,REJECT,Human,TL-003,sup-09,VBR***********E13,WO-97916,False,Leak Detected,1.0389,Evening,77.10946666666666,Evening
1370,GA-2,STN-01,2026-03-10 17:24:00,954-DEF,BOM-3,54.17528,12.159780000000001,71.31,REPAIR,human,TL-011,sup-02,72E***********6GF,WO-27768,False,Temperature High,0.9886,Evening,74.04614000000001,Evening
1447,GA-1,STN-01,2026-03-10 18:03:00,648-ABC,BOM-1,63.5096,11.0181469683807,51.13,,Human,TL-005,sup-02,TBN***********6XY,WO-21929,False,Torque Out of Spec,1.031,Evening,59.51161111111111,Evening
1449,GA-1,STN-01,2026-03-10 18:04:00,404-ABC,BOM-3,49.1014,11.33888,59.61,REPAIR,Human,TL-021,sup-02,1PK***********AKC,WO-43541,False,Torque Out of Spec,1.0124,Evening,76.73992,Evening
1453,GA-1,STN-01,2026-03-10 18:06:00,100-GHI,BOM-2,48.8862,7.3082400000000005,54.2,REPAIR,Human,TL-001,sup-01,VW3***********JT6,WO-39315,False,Leak Detected,0.9876,Evening,65.6754,Evening
1491,GA-2,STN-01,2026-03-10 18:25:00,473-DEF,BOM-2,45.60087,12.73713,40.7,OK,AUTO,TL-012,sup-09,1AD***********HF9,WO-17003,False,Torque Out of Spec,0.9723,Evening,84.97902,Evening
1525,GA-1,STN-01,2026-03-10 18:42:00,765-ABC,BOM-2,46.33367,9.57042637102001,70.48,REPAIR,Automated,TL-009,sup-09,JA0***********3CH,WO-75323,False,Torque Out of Spec,0.9673,Evening,88.50795000000001,Evening
1537,GA-1,STN-01,2026-03-10 18:48:00,449-ABC,BOM-2,53.26503,7.836010000000001,40.94,REPAIR,Human,TL-016,SUP-02,L8Y***********CYK,WO-77458,False,,0.9919,Evening,65.06863999999999,Evening
1555,GA-2,STN-01,2026-03-10 18:57:00,453-GHI,BOM-2,44.43179,11.109479584660573,64.64,REPAIR,automated,TL-017,sup-09,4MS***********XRJ,WO-12178,False,Torque Out of Spec,1.0309,Evening,87.11104999999999,Evening
1559,GA-2,STN-01,2026-03-10 18:59:00,467-DEF,BOM-3,54.1404,8.622359999999999,60.5,REJECT,HUMAN,TL-004,SUP-02,ARS***********MF3,WO-37791,False,Leak Detected,1.0026,Evening,79.00487999999999,Evening
1572,GA-2,STN-01,2026-03-10 19:05:00,671-DEF,BOM-2,48.0687,9.45466015802755,51.26,REJECT,AUTO,TL-013,sup-09,RDT***********PK1,WO-86407,False,Temperature High,0.983,Evening,52.5905,Evening
1573,GA-2,STN-01,2026-03-10 19:06:00,572-ABC,BOM-1,52.227340000000005,11.01118,52.67,REPAIR,HUMAN,TL-009,SUP-09,A3Y***********LY8,WO-43011,False,Torque Out of Spec,1.0102,Evening,85.76598,Evening
1590,GA-2,STN-01,2026-03-10 19:14:00,211-GHI,BOM-3,47.46627,10.05051,59.55,UNKNOWN,automated,TL-015,SUP-01,5HS***********UCA,WO-16750,False,,0.9951,Evening,63.98493,Evening
1614,GA-1,STN-01,2026-03-10 19:26:00,812-GHI,BOM-2,50.05728,6.55512,79.62,REPAIR,Human,TL-001,sup-01,170***********YDR,WO-59457,False,Leak Detected,0.9932,Evening,76.42122222222221,Evening
1619,GA-2,STN-01,2026-03-10 19:29:00,597-ABC,BOM-3,50.83632,12.11796,58.64,REJECT,human,TL-020,sup-09,SJ3***********FKD,WO-67822,False,Torque Out of Spec,0.9852,Evening,78.10446666666665,Evening
1680,GA-2,STN-01,2026-03-10 19:59:00,128-GHI,BOM-2,48.12858,10.39815,56.05,REPAIR,human,TL-002,SUP-01,1FD***********65H,WO-74898,False,,0.9903,Evening,89.22603,Evening
1682,GA-2,STN-01,2026-03-10 20:00:00,936-GHI,BOM-2,46.17516,11.003879999999999,59.71,REJECT,Automated,TL-015,sup-02,0X4***********9KD,WO-46351,False,Visual Defect,1.0284,Evening,77.6442,Evening
1650,GA-2,STN-01,2026-03-10 20:10:00,183-ABC,BOM-3,45.4677,8.373168411037108,64.38,OK,human,TL-013,SUP-01,YCM***********ZRM,WO-22662,False,Temperature High,0.9778,Evening,80.6685,Evening
1841,GA-2,STN-01,2026-03-10 21:20:00,888-GHI,BOM-1,47.66991,7.69196,58.01,OK,human,TL-004,SUP-09,R80***********W0X,WO-42785,False,,1.0121,Evening,69.66621666666666,Evening
1900,GA-1,STN-01,2026-03-10 21:49:00,858-DEF,BOM-3,44.377,11.144,64.03,UNKNOWN,Automated,TL-024,SUP-09,GNH***********BYD,WO-86208,False,Leak Detected,0.995,Evening,79.401,Evening
1985,GA-1,STN-01,2026-03-10 22:32:00,931-DEF,BOM-2,46.699299999999994,8.9144,60.8,REJECT,human,TL-021,sup-09,FKG***********2HL,WO-33280,False,,1.013,Night,76.7854,Night
1993,GA-2,STN-01,2026-03-10 22:36:00,552-GHI,BOM-2,52.1472,11.610899999999999,67.73,REPAIR,Human,TL-007,SUP-09,3Y2***********VXL,WO-59213,False,Temperature High,1.0185,Night,62.84145,Night
2024,GA-1,STN-01,2026-03-10 22:51:00,866-GHI,BOM-3,49.96341000000001,11.460420000000001,54.65,REJECT,HUMAN,TL-024,sup-01,T2W***********FBV,WO-69395,False,Leak Detected,1.0053,Night,86.85792000000001,Night
2038,GA-1,STN-01,2026-03-10 22:58:00,438-ABC,BOM-2,56.259499999999996,8.230424440491456,66.72,OK,AUTO,TL-001,sup-09,9VX***********7XV,WO-20538,False,Torque Out of Spec,1.0229,Night,88.37856,Night
2042,GA-2,STN-01,2026-03-10 23:00:00,104-ABC,BOM-3,54.05153,10.141,73.17,REJECT,Automated,TL-021,SUP-02,2F8***********TZ2,WO-97914,False,Leak Detected,1.0141,Night,74.73917,Night
2056,GA-2,STN-01,2026-03-10 23:07:00,200-ABC,BOM-2,51.86316,10.2942,58.35,,Human,TL-008,sup-01,FLX***********RV9,WO-51173,False,,0.9804,Night,84.21636000000001,Night
2067,GA-2,STN-01,2026-03-10 23:12:00,132-GHI,BOM-1,55.386359999999996,10.466714929880444,52.8,REPAIR,Automated,TL-011,sup-01,PJJ***********4DU,WO-15817,False,Leak Detected,1.0107,Night,59.732369999999996,Night
2070,GA-1,STN-01,2026-03-10 23:14:00,174-DEF,BOM-2,49.4851,11.51286,56.59,REPAIR,AUTO,TL-004,sup-09,KK0***********44F,WO-67126,False,Temperature High,1.0099,Night,78.26725,Night
2089,GA-2,STN-01,2026-03-10 23:24:00,145-ABC,BOM-2,48.25541,,61.3,REJECT,AUTO,TL-001,SUP-01,Y8B***********GT5,WO-20507,False,Leak Detected,1.0289,Night,82.92933999999998,Night
2106,GA-2,STN-01,2026-03-10 23:32:00,163-GHI,BOM-1,48.83622,11.84845,75.8,REPAIR,human,TL-004,sup-01,BHL***********736,WO-89453,False,Visual Defect,1.0303,Night,89.94519,Night
2130,GA-1,STN-01,2026-03-10 23:44:00,334-GHI,BOM-3,56.68802999999999,,62.41,REJECT,Automated,TL-005,sup-01,V4J***********VUC,WO-16599,False,Leak Detected,1.0251,Night,101.17737,Night
2153,GA-2,STN-01,2026-03-10 23:56:00,897-DEF,BOM-3,45.360319999999994,10.79536,75.59,REJECT,human,TL-014,SUP-09,AF5***********UPL,WO-77680,False,,0.9904,Night,86.56096,Night
2159,GA-2,STN-01,2026-03-10 23:59:00,715-GHI,BOM-1,53.592240000000004,9.333480000000002,50.36,OK,Automated,TL-007,SUP-01,RU8***********SP8,WO-55717,False,Temperature High,1.0036,Night,76.87576,Night
2168,GA-2,STN-01,2026-03-11 00:03:00,213-DEF,BOM-3,41.230250000000005,10.816037865938583,60.07,OK,AUTO,TL-015,sup-09,BY0***********51J,WO-11337,False,Leak Detected,0.9935,Night,88.91825,Night
2171,GA-1,STN-01,2026-03-11 00:05:00,711-ABC,BOM-2,45.45779,8.55442,57.93,OK,Human,TL-014,SUP-01,6XE***********RZC,WO-18684,False,Torque Out of Spec,0.9947,Night,68.33589,Night
2183,GA-1,STN-01,2026-03-11 00:11:00,838-ABC,BOM-1,41.05816,8.84033701512707,61.95,REJECT,automated,TL-024,SUP-01,MP0***********47D,WO-48761,False,Visual Defect,1.0088,Night,80.90576,Night
2237,GA-1,STN-01,2026-03-11 00:37:00,992-DEF,BOM-1,49.710359999999994,9.58272,49.23,REJECT,AUTO,TL-006,sup-02,PK0***********CDF,WO-26808,False,Visual Defect,0.9982,Night,108.10506,Night
2352,GA-2,STN-01,2026-03-11 01:35:00,724-GHI,BOM-2,54.767340000000004,9.2826,58.74,REJECT,AUTO,TL-018,SUP-02,DKN***********KP2,WO-54523,False,Leak Detected,1.0314,Night,79.21152000000001,Night
2397,GA-1,STN-01,2026-03-11 01:58:00,687-ABC,BOM-2,48.24454,11.196815317365106,64.37,OK,automated,TL-022,sup-09,LKZ***********G87,WO-29056,False,Leak Detected,1.0093,Night,79.4543388888889,Night
2402,GA-1,STN-01,2026-03-11 02:00:00,175-ABC,BOM-3,54.010619999999996,11.51046,58.01,REPAIR,Human,TL-003,sup-09,9FT***********BB0,WO-66712,False,Leak Detected,0.9838,Night,81.1635,Night
2431,GA-2,STN-01,2026-03-11 02:15:00,649-GHI,BOM-2,41.99296,9.50784,54.74,REJECT,Human,TL-022,SUP-02,CMP***********6LZ,WO-11265,False,Temperature High,0.9904,Night,63.97983999999999,Night
2482,GA-2,STN-01,2026-03-11 02:40:00,116-ABC,BOM-3,51.324999999999996,8.6226,67.98,REPAIR,AUTO,TL-015,sup-01,X94***********S51,WO-46721,False,Torque Out of Spec,1.0265,Night,94.6433,Night
2491,GA-1,STN-01,2026-03-11 02:45:00,168-ABC,BOM-1,55.842020000000005,12.746109295494973,61.63,REPAIR,Human,TL-004,SUP-02,D1W***********FX4,WO-22135,False,,1.0322,Night,87.01446,Night
2546,GA-2,STN-01,2026-03-11 03:12:00,290-ABC,BOM-3,48.18072,10.122,59.47,REJECT,HUMAN,TL-014,sup-02,UUD***********MN5,WO-67181,False,Visual Defect,1.0122,Night,64.47714,Night
2547,GA-2,STN-01,2026-03-11 03:13:00,956-ABC,BOM-3,48.97112,11.73688,68.05,REPAIR,HUMAN,TL-022,SUP-01,HLD***********8WC,WO-14827,False,Temperature High,1.0118,Night,80.64046,Night
2558,GA-1,STN-01,2026-03-11 03:18:00,233-DEF,BOM-1,52.8721,12.610919207380135,58.5,REPAIR,Human,TL-001,sup-09,2ML***********5UP,WO-10516,False,,0.9755,Night,65.84625,Night
2584,GA-2,STN-01,2026-03-11 03:31:00,575-ABC,BOM-3,48.79446,11.3256,58.45,UNKNOWN,AUTO,TL-008,SUP-02,Z4Y***********J39,WO-69661,False,Visual Defect,0.9438,Night,76.73093999999999,Night
2721,GA-2,STN-01,2026-03-11 04:40:00,212-DEF,BOM-2,48.13104,7.94304,60.7,REJECT,Automated,TL-018,SUP-02,SRE***********E62,WO-22441,False,Visual Defect,0.9456,Night,94.29733333333334,Night
2724,GA-1,STN-01,2026-03-11 04:41:00,170-ABC,BOM-3,50.9,9.383747707497346,61.5,REPAIR,Automated,TL-011,SUP-01,Y6R***********8NJ,WO-42269,False,Visual Defect,1.0,Night,79.5,Night
2737,GA-2,STN-01,2026-03-11 04:48:00,319-ABC,BOM-2,44.21733,10.471818420000275,40.88,REJECT,automated,TL-016,SUP-09,W4M***********W8X,WO-70785,False,,0.9761,Night,80.0402,Night
2918,GA-2,STN-01,2026-03-11 06:18:00,462-GHI,BOM-2,59.04608,10.549039562045808,55.23,REPAIR,human,TL-007,SUP-01,CX7***********372,WO-64661,False,Visual Defect,0.9974,Morning,76.52274444444444,Morning
2922,GA-1,STN-01,2026-03-11 06:20:00,493-DEF,BOM-2,51.51902,11.49348,61.01,REPAIR,Human,TL-003,SUP-01,SJH***********4ZT,WO-60835,False,,1.0082,Morning,74.20352,Morning
2925,GA-1,STN-01,2026-03-11 06:22:00,498-DEF,BOM-2,45.93828,9.167940000000002,44.53,REJECT,AUTO,TL-013,sup-02,3A9***********JAC,WO-59321,False,,0.9858,Morning,67.92162,Morning
2948,GA-2,STN-01,2026-03-11 06:33:00,563-DEF,BOM-3,51.31329,,72.64,REPAIR,Human,TL-005,sup-01,5SD***********ZY4,WO-77674,False,,0.9849,Morning,71.67883333333333,Morning
2965,GA-2,STN-01,2026-03-11 06:42:00,925-ABC,BOM-3,49.89459,7.86761,52.46,REJECT,Automated,TL-006,SUP-01,Z1V***********P5U,WO-94752,False,,0.9959,Morning,105.5654,Morning
2970,GA-2,STN-01,2026-03-11 06:44:00,719-GHI,BOM-1,51.707339999999995,9.76002,40.58,REJECT,AUTO,TL-024,SUP-02,2B6***********2PE,WO-97145,False,Temperature High,1.0383,Morning,80.36442000000001,Morning
3112,GA-1,STN-01,2026-03-11 07:55:00,969-DEF,BOM-2,56.28513000000001,9.981948868572374,48.77,UNKNOWN,Human,TL-021,sup-09,JTM***********RMZ,WO-48804,False,,1.0033,Morning,62.87346666666667,Morning
3126,GA-2,STN-01,2026-03-11 08:02:00,484-DEF,BOM-1,53.565599999999996,12.57650408858368,51.4,REPAIR,HUMAN,TL-005,SUP-01,9FR***********6ZU,WO-61496,False,Torque Out of Spec,1.0145,Morning,97.69635,Morning
3245,GA-2,STN-01,2026-03-11 09:02:00,550-DEF,BOM-1,53.82003999999999,9.55203,49.17,REPAIR,Human,TL-024,sup-02,VWK***********5X0,WO-81880,False,Torque Out of Spec,1.0271,Morning,78.68727222222222,Morning
3259,GA-1,STN-01,2026-03-11 09:09:00,392-DEF,BOM-2,45.61824,9.003599999999999,61.56,,HUMAN,TL-004,SUP-09,JJ9***********FVY,WO-68062,False,Temperature High,1.0004,Morning,70.5282,Morning
3341,GA-2,STN-01,2026-03-11 09:50:00,391-GHI,BOM-1,47.46441,8.35295,61.01,REPAIR,HUMAN,TL-001,sup-01,D9E***********N74,WO-18004,False,Temperature High,0.9827,Morning,74.09558000000001,Morning
3351,GA-1,STN-01,2026-03-11 09:55:00,982-DEF,BOM-2,50.305029999999995,10.205242763965305,63.3,REPAIR,Human,TL-013,sup-02,JCP***********PRH,WO-47593,False,Torque Out of Spec,1.0001,Morning,90.39792777777777,Morning
3364,GA-2,STN-01,2026-03-11 10:01:00,976-DEF,BOM-1,45.25018,10.328604227857527,66.43,REPAIR,human,TL-014,sup-09,H29***********0S2,WO-86829,False,Temperature High,0.9967,Morning,91.59673000000001,Morning
3380,GA-2,STN-01,2026-03-11 10:09:00,695-GHI,BOM-3,49.363020000000006,8.43031,60.36,REPAIR,human,TL-016,sup-02,E5B***********P6B,WO-97949,False,,1.0157,Morning,69.27074,Morning
3494,GA-2,STN-01,2026-03-11 11:06:00,362-GHI,BOM-2,48.593920000000004,10.62992,78.59,REJECT,HUMAN,TL-004,SUP-01,Z1L***********P8A,WO-18262,False,Temperature High,0.9491,Morning,80.29386,Morning
3584,GA-2,STN-01,2026-03-11 11:51:00,349-GHI,BOM-1,49.496230000000004,8.66433,53.49,REPAIR,Human,TL-015,sup-02,HEN***********LRT,WO-40195,False,,0.9959,Morning,67.44456111111111,Morning
3611,GA-2,STN-01,2026-03-11 12:05:00,204-DEF,BOM-1,50.84856,8.50662,54.39,REPAIR,automated,TL-021,SUP-09,N2J***********NX3,WO-87640,False,Leak Detected,0.9558,Morning,84.87504,Morning
3696,GA-1,STN-01,2026-03-11 12:47:00,281-GHI,BOM-1,45.98014,9.37556,48.04,,AUTO,TL-014,SUP-01,J63***********Z5K,WO-58844,False,Torque Out of Spec,0.9974,Morning,74.20656,Morning
3724,GA-1,STN-01,2026-03-11 13:01:00,621-DEF,BOM-3,53.66088,9.14004,63.79,OK,HUMAN,TL-014,sup-02,XL0***********WBR,WO-94427,False,Leak Detected,0.9828,Morning,59.2956,Morning
3795,GA-1,STN-01,2026-03-11 13:37:00,497-ABC,BOM-2,42.676680000000005,11.5207,44.3,REJECT,AUTO,TL-024,SUP-02,7TH***********X0L,WO-59090,False,Leak Detected,1.0018,Morning,93.22305555555556,Morning
3801,GA-1,STN-01,2026-03-11 13:40:00,315-GHI,BOM-3,49.21796,9.152099999999999,62.56,,HUMAN,TL-021,sup-01,5H3***********9C7,WO-63363,False,,1.0169,Morning,89.48719999999999,Morning
3837,GA-2,STN-01,2026-03-11 13:58:00,208-DEF,BOM-1,53.83104,10.78656,73.56,REPAIR,automated,TL-015,SUP-09,628***********XDM,WO-97312,False,Temperature High,1.0176,Morning,71.43552000000001,Morning
