Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier
52,GA-1,STN-06,2026-03-10 06:25,417ABC,BOM-1,43.9Nm,141.8F,9.6 bar,60.27,Reject,Human,TL-022,SUP-09
53,ga-2, STN-05 ,,803-ghi,BOM-1,49.0,85.0 c,11.6 bar,49.44,REP,HUMAN,TL-016,sup-02
54, Ga-2 ,STN-04,2026/03/10 06:26,220ghi,BOM-3,,95.8,169.6psi,63.15,Reject,automated,TL-016,SUP-02
55, Ga-2 ,stn-07,2026/03/10 06:27,568ghi,BOM-1,59.4 Nm,70.4,10.0 bar,62.4,OK,automated,TL-006,SUP-01
56,GA-1,STN-03,2026/03/10 06:27,213DEF,BOM-3,,101.0,9.4 bar,46.87,REP,Human,TL-008,sup-01
57,ga-1,STN-02,2026/03/10 06:28,308abc,BOM-3,46.0Nm,79.9,135.6psi,56.98,Reject,HUMAN,TL-003,SUP-09
58, Ga-1 ,stn-07,2026-03-10 06:28,466-ABC,BOM-2,56.4 Nm,140.7F,,63.66,na,automated,TL-015,SUP-01
59,ga-2,stn-03,10-03-2026 06:29,,BOM-2,50.3Nm,64.4,10.2 bar,59.22,REP,Human,TL-012,SUP-02
60, Ga-2 ,stn-02,2026/03/10 06:29,375GHI,BOM-3,55.2,87.7,10.1 bar,40.39,REJ,Automated,TL-004,SUP-02
61, Ga-1 ,stn-06,10-03-2026 06:30,778ghi,BOM-1,53.9,81.3,8.8 bar,53.6,REJ,HUMAN,TL-008,sup-02
62,GA-2,STN-06,2026-03-10 06:30,182-GHI,BOM-1,43.7,94.8,7.2 bar,52.93,OK,AUTO,TL-002,sup-02
63,GA-1, STN-06 ,2026-03-10 06:31,326def,BOM-1,52.7Nm,68.0 c,10.3 bar,65.59,na,Automated,TL-002,SUP-09
64, Ga-1 ,STN-06,2026/03/10 06:31,643ghi,BOM-2,55.0 Nm,81.2 c,10.5 bar,85.98,REJ,HUMAN,TL-002,sup-09
65, Ga-2 ,stn-03,2026/03/10 06:32,520-ghi,BOM-3,49.9,80.1 c,10.6 bar,61.34,None,Automated,TL-008,SUP-02
66,GA-2, STN-02 ,2026/03/10 06:32,551-GHI,BOM-2,48.8 Nm,173.4F,8.5 bar,48.02,,Human,TL-007,
67,GA-2,stn-06,2026/03/10 06:33,709-GHI,BOM-3,42.1Nm,76.2C,153.6psi,58.39,Reject,AUTO,TL-005,sup-01
68,GA-1,stn-01,10-03-2026 06:33,169-ghi,BOM-2,53.4 Nm,76.4C,,60.11,na,automated,TL-005,SUP-09
69,GA-2,stn-02,2026/03/10 06:34,725-ghi,BOM-3,51.0Nm,,163.8psi,67.57,Repair,Automated,TL-023,sup-09
70,GA-1, STN-01 ,2026-03-10 06:34,875-abc,BOM-3,45.4,181.4F,123.8psi,72.42,Reject,HUMAN,TL-010,sup-01
71,ga-1,stn-01,2026-03-10 06:35,788DEF,BOM-1,48.4Nm,82.5C,11.7 bar,73.91,REP,Human,TL-013,SUP-02
72, Ga-2 , STN-03 ,10-03-2026 06:35,355-DEF,BOM-2,50.8,92.1,177.8psi,65.37,Repair,Automated,TL-022,sup-01
73,GA-1,stn-06,2026-03-10 06:36,415-ghi,BOM-2,47.2 Nm,68.0C,10.2 bar,59.99,OK,Automated,TL-024,SUP-02
74, Ga-2 ,stn-02,2026-03-10 06:36,964GHI,BOM-2,50.0,61.9,153.8psi,74.83,None,AUTO,TL-010,sup-01
75,GA-1,STN-06,10-03-2026 06:37,,BOM-3,41.3Nm,90.2,11.2 bar,56.52,Repair,Automated,TL-019,SUP-02
76,ga-1, STN-05 ,2026-03-10 06:37,937-ghi,BOM-2,56.7 Nm,159.0F,8.5 bar,60.54,Reject,automated,TL-010,sup-09
77, Ga-1 , STN-06 ,2026/03/10 06:38,921GHI,BOM-3,50.1 Nm,76.2,9.3 bar,57.57,REP,human,TL-007,sup-09
78,ga-1,stn-07,2026-03-10 06:38,490-abc,BOM-3,,73.9C,10.3 bar,38.69,REJ,AUTO,TL-003,sup-09
79,ga-1, STN-05 ,2026/03/10 06:39,216-ABC,BOM-1,37.7Nm,164.6F,189.1psi,72.72,Reject,HUMAN,TL-009,SUP-01
80,GA-1, STN-03 ,10-03-2026 06:39,305-ghi,BOM-1,55.1 Nm,65.4 c,119.0psi,66.76,na,AUTO,TL-024,sup-01
81,GA-1,stn-02,2026-03-10 06:40,364-DEF,BOM-3,,165.7F,180.6psi,36.3,Repair,human,TL-005,sup-02
82,GA-2,stn-07,2026/03/10 06:40,850-abc,BOM-3,51.1 Nm,187.7F,140.8psi,70.02,REJ,human,TL-004,SUP-09
83,ga-1,STN-05,10-03-2026 06:41,348DEF,BOM-3,54.3,80.0 c,9.9 bar,56.97,None,automated,TL-007,sup-01
84,ga-1, STN-01 ,,424ABC,BOM-1,54.3 Nm,85.0,11.8 bar,69.89,REJ,human,TL-009,sup-01
85, Ga-2 , STN-01 ,2026-03-10 06:42,865-GHI,BOM-3,51.0Nm,167.1F,13.0 bar,60.76,REP,automated,TL-010,sup-09
86,ga-2, STN-06 ,,247abc,BOM-1,48.7 Nm,89.0,154.2psi,46.43,REJ,Automated,TL-023,SUP-01
87,GA-2,STN-01,2026-03-10 06:43,,BOM-2,47.9,74.9 c,11.7 bar,60.26,,automated,TL-023,SUP-09
88,ga-2,stn-02,2026/03/10 06:43,595abc,BOM-3,52.1,58.9C,8.6 bar,51.02,REJ,human,TL-011,sup-09
89, Ga-1 ,stn-07,10-03-2026 06:44,985GHI,BOM-1,57.0Nm,181.7F,9.2 bar,47.77,OK,Human,TL-022,sup-09
90, Ga-1 ,STN-04,2026/03/10 06:44,539def,BOM-2,49.5Nm,87.7,8.0 bar,68.67,Repair,AUTO,TL-009,sup-09
91,ga-2,STN-03,2026-03-10 06:45,568ABC,BOM-2,57.4Nm,165.9F,9.2 bar,63.92,,Human,TL-010,sup-01
92,ga-2, STN-07 ,2026-03-10 06:45,864-ghi,BOM-2,51.9,92.0 c,10.8 bar,74.98,Reject,AUTO,TL-018,sup-01
93,GA-2, STN-01 ,2026/03/10 06:46,991-def,BOM-1,51.9 Nm,71.5C,10.3 bar,56.06,REP,AUTO,TL-021,SUP-09
94,GA-1,stn-07,10-03-2026 06:46,755def,BOM-2,62.0,188.1F,12.6 bar,50.37,Repair,automated,TL-001,sup-01
95, Ga-2 ,STN-01,10-03-2026 06:47,727ABC,BOM-3,58.3Nm,97.4C,13.1 bar,66.39,,automated,TL-015,SUP-09
96,GA-2, STN-01 ,2026/03/10 06:47,887-ABC,BOM-1,58.4Nm,80.4 c,9.8 bar,51.66,REP,automated,TL-008,sup-01
97,ga-1,stn-07,2026/03/10 06:48,980-DEF,BOM-2,46.0 Nm,77.7,9.0 bar,56.9,,Automated,TL-010,SUP-02
98, Ga-1 , STN-05 ,2026/03/10 06:48,760GHI,BOM-2,61.0 Nm,78.9C,11.7 bar,65.25,REJ,AUTO,TL-014,SUP-02
99,GA-2, STN-01 ,2026/03/10 06:49,,BOM-2,49.6 Nm,205.3F,11.9 bar,58.74,na,automated,TL-013,SUP-02
100, Ga-1 , STN-04 ,2026/03/10 06:49,677-ABC,BOM-3,48.9 Nm,84.0C,10.7 bar,55.11,None,automated,TL-024,SUP-01
101, Ga-2 ,stn-02,2026/03/10 06:50,312-GHI,BOM-1,39.2 Nm,101.4C,11.1 bar,45.97,REP,Human,TL-011,sup-09
102, Ga-2 ,STN-07,10-03-2026 06:50,549-ABC,BOM-1,51.6,82.8C,10.8 bar,69.37,REJ,HUMAN,TL-024,sup-09
103,GA-1, STN-07 ,2026-03-10 06:51,499-abc,BOM-3,44.6 Nm,73.5 c,8.5 bar,56.32,OK,automated,TL-017,sup-02
104,ga-1, STN-03 ,2026/03/10 06:51,987ABC,BOM-3,52.0,74.2C,8.2 bar,66.18,REP,automated,TL-016,SUP-02
105,ga-1,STN-01,2026-03-10 06:52,598def,BOM-1,44.2,80.6,9.9 bar,64.86,Reject,AUTO,TL-013,sup-01
106, Ga-1 ,stn-04,2026-03-10 06:52,962ABC,BOM-1,59.0,59.6 c,9.7 bar,70.91,Reject,HUMAN,TL-009,sup-09
107,ga-1,STN-06,10-03-2026 06:53,826ghi,BOM-2,52.8,75.3 c,10.4 bar,57.64,REJ,Human,TL-015,sup-09
108,ga-2,STN-02,10-03-2026 06:53,863abc,BOM-3,,75.5 c,,56.52,Reject,Automated,TL-014,SUP-09
109, Ga-2 ,STN-04,10-03-2026 06:54,252DEF,BOM-2,44.9,180.3F,,48.92,OK,AUTO,TL-003,sup-09
110,ga-2, STN-02 ,2026-03-10 06:54,797-ABC,BOM-3,57.7Nm,99.4,6.8 bar,54.57,Reject,Human,TL-023,SUP-09
111, Ga-2 ,stn-07,2026/03/10 06:55,,BOM-2,41.0,177.0F,161.0psi,63.41,na,AUTO,TL-022,sup-09
112,GA-1,STN-02,2026/03/10 06:55,619def,BOM-3,51.0Nm,141.4F,9.0 bar,51.83,Repair,automated,TL-017,sup-09
113,GA-2, STN-04 ,10-03-2026 06:56,537def,BOM-1,46.8Nm,70.9C,9.7 bar,63.16,REP,human,TL-017,sup-02
114,ga-2,STN-04,2026-03-10 06:56,333-GHI,BOM-3,47.8,82.6 c,132.9psi,74.67,OK,AUTO,TL-004,sup-09
115, Ga-2 ,stn-05,2026/03/10 06:57,985-GHI,BOM-3,47.4 Nm,80.9 c,8.6 bar,55.55,Reject,human,TL-015,SUP-01
116, Ga-2 ,stn-01,2026/03/10 06:57,887abc,BOM-3,45.4,205.2F,8.6 bar,46.86,Reject,automated,TL-024,sup-09
117,GA-2,STN-06,2026-03-10 06:58,616-ghi,BOM-1,43.7,89.6,167.2psi,55.87,REP,AUTO,TL-003,SUP-09
118,GA-2,stn-04,2026-03-10 06:58,109ABC,BOM-3,47.8Nm,89.3 c,139.8psi,45.77,REP,AUTO,TL-022,sup-02
119,GA-2, STN-03 ,10-03-2026 06:59,264ABC,BOM-3,50.6,,158.8psi,73.34,REJ,automated,TL-009,SUP-02
120,GA-1,STN-04,10-03-2026 06:59,304ghi,BOM-3,55.8Nm,91.0C,11.2 bar,60.85,None,AUTO,TL-006,SUP-09
121, Ga-1 ,stn-07,10-03-2026 07:00,973abc,BOM-1,51.5 Nm,71.0 c,10.5 bar,52.72,REP,automated,TL-022,SUP-01
122,ga-1,stn-02,10-03-2026 07:00,462-abc,BOM-3,55.8Nm,89.7C,11.2 bar,54.4,,Automated,TL-016,sup-02
123,ga-1,stn-01,2026/03/10 07:01,142DEF,BOM-3,42.6 Nm,77.2 c,10.0 bar,48.18,REJ,automated,TL-020,SUP-01
124, Ga-2 ,STN-02,2026-03-10 07:01,626abc,BOM-1,,65.5 c,12.0 bar,70.11,,Human,TL-022,sup-09
125, Ga-1 ,STN-06,2026/03/10 07:02,954-GHI,BOM-1,53.6Nm,,162.9psi,78.37,Repair,HUMAN,TL-001,sup-09
126, Ga-1 ,STN-03,2026/03/10 07:02,604-ABC,BOM-3,51.7Nm,94.0C,11.4 bar,45.06,Repair,automated,TL-006,SUP-02
127,GA-2,STN-02,2026/03/10 07:03,499ABC,BOM-3,45.7 Nm,75.9C,8.6 bar,70.43,REP,automated,TL-006,sup-02
128, Ga-2 ,STN-01,2026-03-10 07:03,258abc,BOM-2,54.7,95.6 c,10.4 bar,57.54,na,HUMAN,TL-023,SUP-02
129,GA-2,STN-02,2026-03-10 07:04,890def,BOM-2,47.3Nm,63.4,105.1psi,72.67,Reject,AUTO,TL-013,SUP-09
130, Ga-1 ,stn-03,2026-03-10 07:04,194abc,BOM-3,46.1Nm,154.5F,12.1 bar,41.66,na,Human,TL-005,sup-09
131, Ga-2 ,stn-05,10-03-2026 07:05,939ABC,BOM-2,52.4,78.5,9.1 bar,62.25,REJ,Human,TL-017,sup-01
132, Ga-1 ,stn-03,2026-03-10 07:05,299-DEF,BOM-3,50.0 Nm,76.3C,9.3 bar,55.92,na,AUTO,TL-009,SUP-02
133,GA-1,stn-07,2026-03-10 07:06,224-def,BOM-3,47.4,73.3C,115.3psi,66.59,Repair,HUMAN,TL-014,SUP-02
134,ga-1,STN-01,2026-03-10 07:06,413-def,BOM-1,47.2,178.4F,9.9 bar,60.61,,human,TL-023,SUP-01
135, Ga-1 ,STN-02,2026-03-10 07:07,104def,BOM-1,44.7,166.5F,9.6 bar,60.22,Repair,Human,TL-007,SUP-09
136,GA-2,stn-01,10-03-2026 07:07,112ABC,BOM-1,48.0Nm,76.4C,12.7 bar,58.94,None,human,TL-023,SUP-01
137,GA-2, STN-01 ,10-03-2026 07:08,,BOM-3,55.5,82.8 c,11.3 bar,75.62,Reject,Human,TL-018,sup-01
138,GA-2, STN-04 ,2026-03-10 07:08,722-ABC,BOM-1,51.2 Nm,73.3,9.2 bar,58.25,OK,Human,TL-001,sup-02
139,ga-2, STN-02 ,2026-03-10 07:09,832-ghi,BOM-3,54.8 Nm,78.9,7.5 bar,68.64,OK,Human,TL-010,sup-09
140,GA-1, STN-03 ,10-03-2026 07:09,322-ABC,BOM-2,52.6Nm,73.5 c,,66.29,REP,HUMAN,TL-021,sup-09
141,GA-2, STN-07 ,10-03-2026 07:10,,BOM-3,46.9,67.9,8.5 bar,68.89,None,Human,TL-021,sup-02
142,GA-1,STN-03,,415GHI,BOM-2,41.8 Nm,87.6 c,116.0psi,49.85,,Automated,TL-017,
143,GA-2,stn-02,10-03-2026 07:11,489-ABC,BOM-2,45.4 Nm,97.1C,10.5 bar,67.07,REP,automated,TL-017,SUP-09
144,ga-2,stn-06,10-03-2026 07:11,401-ABC,BOM-1,46.6 Nm,90.6 c,141.8psi,63.37,Repair,Automated,TL-021,
145,ga-1,STN-02,10-03-2026 07:12,901-GHI,BOM-1,46.3Nm,83.3,,48.11,Reject,Human,TL-004,sup-09
146,GA-2,stn-03,2026-03-10 07:12,560GHI,BOM-1,54.9 Nm,73.6C,8.6 bar,57.88,OK,Automated,TL-012,SUP-01
147,GA-2,STN-02,2026-03-10 07:13,555-DEF,BOM-1,54.9Nm,170.8F,10.2 bar,82.94,REJ,human,TL-009,sup-09
148,ga-2, STN-05 ,2026/03/10 07:13,872GHI,BOM-1,61.1 Nm,90.6,114.1psi,56.08,,AUTO,TL-024,SUP-02
149,GA-1,STN-01,2026/03/10 07:14,690-GHI,BOM-3,46.2,57.2 c,9.9 bar,56.32,,HUMAN,TL-019,sup-01
150,ga-1, STN-06 ,2026/03/10 07:14,234-GHI,BOM-3,58.0,,11.2 bar,64.51,OK,human,TL-018,SUP-02
151,ga-2, STN-03 ,10-03-2026 07:15,269-def,BOM-1,58.0 Nm,87.3,9.5 bar,54.59,REJ,human,TL-003,SUP-01
152, Ga-1 ,STN-05,10-03-2026 07:15,,BOM-2,48.8,68.6 c,10.7 bar,61.4,REJ,Human,TL-019,sup-02
153,GA-1,STN-02,,187-ghi,BOM-3,52.4Nm,84.2 c,7.0 bar,55.51,None,HUMAN,TL-021,sup-01
154,ga-1,stn-03,2026/03/10 07:16,722-abc,BOM-1,,83.8,6.9 bar,64.02,Reject,AUTO,TL-011,SUP-02
155,GA-1,stn-06,10-03-2026 07:17,545DEF,BOM-3,49.7,65.5,10.5 bar,59.38,Reject,human,TL-021,sup-02
156,ga-2, STN-02 ,2026/03/10 07:17,139-ghi,BOM-2,49.3,80.9,167.8psi,79.52,Reject,HUMAN,TL-010,SUP-01
157,ga-2,stn-04,2026-03-10 07:18,460-def,BOM-3,46.9Nm,73.8C,9.6 bar,60.46,REP,Human,TL-016,SUP-01
158,GA-2,STN-04,10-03-2026 07:18,846-ABC,BOM-1,38.2Nm,183.5F,13.2 bar,57.77,Reject,AUTO,TL-005,SUP-09
159,GA-1,stn-02,2026/03/10 07:70,915-DEF,BOM-3,50.4Nm,188.1F,,70.29,Reject,HUMAN,TL-013,SUP-02
160,ga-1,stn-03,10-03-2026 07:19,,BOM-3,,84.0 c,130.2psi,46.09,OK,Human,TL-002,SUP-01
161,ga-2,STN-06,2026-03-10 07:20,929-ghi,BOM-1,44.6,80.7C,10.2 bar,76.92,na,human,TL-003,sup-02
162, Ga-2 ,STN-03,10-03-2026 07:20,646-abc,BOM-3,52.1,82.9,10.7 bar,50.12,None,Human,TL-022,sup-02
163,GA-1,stn-06,2026/03/10 07:21,933ABC,BOM-1,42.7 Nm,68.2,9.1 bar,71.92,REP,AUTO,TL-017,SUP-02
164,ga-2,STN-03,2026/03/10 07:21,959-def,BOM-1,54.0 Nm,79.7C,8.4 bar,74.57,REP,Automated,TL-015,SUP-02
165,ga-2, STN-02 ,10-03-2026 07:22,671abc,BOM-3,52.4Nm,72.0C,10.9 bar,54.74,,Automated,TL-010,sup-01
166, Ga-2 , STN-07 ,2026/03/10 07:22,471-ghi,BOM-3,48.0Nm,,10.2 bar,55.7,Repair,AUTO,TL-014,SUP-09
167,ga-2,STN-02,10-03-2026 07:23,968-GHI,BOM-1,49.7 Nm,188.3F,9.5 bar,58.91,Reject,AUTO,TL-017,SUP-09
168,GA-1,stn-02,2026/03/10 07:23,473-ghi,BOM-3,44.0 Nm,,155.8psi,66.22,Repair,automated,TL-009,SUP-02
169, Ga-2 ,STN-06,2026-03-10 07:24,249-GHI,BOM-3,53.8,97.1 c,9.8 bar,50.02,Reject,AUTO,TL-008,sup-09
170,GA-2,stn-07,2026/03/10 07:24,195-abc,BOM-1,,76.7 c,9.8 bar,58.91,,automated,TL-018,SUP-01
171,GA-1, STN-05 ,10-03-2026 07:25,610-ABC,BOM-1,51.3,74.5 c,,56.87,OK,human,TL-013,SUP-02
172,ga-2, STN-03 ,10-03-2026 07:25,131GHI,BOM-1,52.5Nm,76.5 c,8.8 bar,48.49,REJ,human,TL-010,sup-09
173, Ga-2 , STN-02 ,10-03-2026 07:26,206-def,BOM-1,46.8 Nm,64.0 c,8.6 bar,49.55,na,human,TL-011,sup-09
174, Ga-1 ,stn-05,2026-03-10 07:26,319GHI,BOM-1,42.4 Nm,64.8,133.6psi,61.28,REP,AUTO,TL-020,SUP-09
175,GA-1, STN-07 ,2026-03-10 07:27,576-ghi,BOM-3,54.8Nm,187.2F,,61.11,OK,Human,TL-013,sup-01
176,GA-2,STN-05,10-03-2026 07:27,529-abc,BOM-1,53.4Nm,150.9F,,52.36,Reject,Automated,TL-002,SUP-09
177,GA-1,stn-06,10-03-2026 07:28,559ghi,BOM-2,47.3,69.3 c,11.4 bar,60.79,OK,Human,TL-020,SUP-01
178,GA-2,stn-05,10-03-2026 07:28,556-DEF,BOM-2,,79.0 c,10.0 bar,53.53,Reject,human,TL-006,sup-02
179, Ga-1 ,stn-03,2026/03/10 07:29,993abc,BOM-1,56.3,75.9 c,8.4 bar,73.07,Reject,Automated,TL-002,sup-09
180, Ga-2 ,stn-04,2026-03-10 07:29,295-DEF,BOM-3,55.7,88.9 c,12.4 bar,58.97,,HUMAN,TL-007,sup-02
181, Ga-2 ,STN-05,10-03-2026 07:30,526-abc,BOM-1,47.2,80.6,10.1 bar,70.98,Repair,HUMAN,TL-003,SUP-02
182,GA-2,STN-06,2026-03-10 07:30,650-abc,BOM-1,42.6 Nm,72.0 c,8.0 bar,43.07,REJ,AUTO,TL-001,SUP-02
183, Ga-2 ,STN-03,2026/03/10 07:31,346abc,BOM-1,43.4Nm,89.7C,,63.23,Repair,Human,TL-017,SUP-09
184,GA-2, STN-01 ,2026/03/10 07:31,262ghi,BOM-3,48.4 Nm,87.3C,174.5psi,65.96,Reject,Automated,TL-016,sup-01
185,ga-1,stn-05,10-03-2026 07:32,141-GHI,BOM-3,57.3Nm,65.9 c,8.6 bar,58.62,Reject,Automated,TL-008,SUP-01
186, Ga-1 , STN-01 ,2026-03-10 07:32,393-ABC,BOM-2,46.4,,,54.61,Repair,HUMAN,TL-017,SUP-09
187,GA-2,stn-04,10-03-2026 07:33,328GHI,BOM-2,47.0,72.8 c,135.0psi,58.46,REP,Automated,TL-001,SUP-02
188, Ga-2 ,stn-01,10-03-2026 07:33,275-GHI,BOM-2,46.9 Nm,162.7F,7.2 bar,67.42,REP,human,TL-010,
189,ga-2,STN-03,,343DEF,BOM-2,47.3,98.7 c,10.5 bar,47.89,Reject,automated,TL-014,sup-09
