Event_ID,Line,Station,Machine_ID,Tool_ID,Operator_ID,Part_No,Part_Type,BOM_Version,Energy_Consumption,Cycle_Time,Defect_Code,Scrap_Reason,Inspection_Result,VIN,Supplier,Supplier_Lot,WO,Rework_Flag,Andon_Flag,Production_Target,Actual_Output,Maintenance_Flag,Warranty_Flag,TS_dt,Torque_Nm,Temp_C,Defect_Normalized,Shift_Derived,Inspection_Source_Normalized,Anomaly_Flag,BOM_Valid
602,BODY-1,STN-01,MCH-010,TL-004,OP-0048,648-ABC,ENGINE,BOM-1,244.36,66.35,VISUAL,Unknown,Pass,AZ1***********2VY,SUP-09,LOT-1325,WO-42374,False,0,50,52,0,0,2026-03-10 11:00:00,55.00764,70.09038,Reject,Morning,Human,False,True
605,BODY-1,STN-01,MCH-003,TL-003,OP-0017,192-DEF,ELECTRICAL,BOM-1,178.8,56.63,LEAK,Unknown,Pass,W2H***********L67,SUP-09,LOT-2109,WO-15991,False,0,68,59,0,0,2026-03-10 11:02:00,51.67756,215.65830000000003,Repair,Morning,Automated,True,True
775,BODY-1,STN-01,MCH-016,TL-023,OP-0021,427-ABC,BODY,BOM-3,306.36,49.89,TEMP_OOS,Leak Detected,Pass,7VZ***********KXC,SUP-01,LOT-6310,WO-71893,False,0,59,58,0,0,2026-03-10 12:27:00,54.26888699999999,80.77322000000001,Unknown,Morning,Automated,False,False
823,GA-1,STN-01,MCH-006,TL-013,OP-0008,823-GHI,INTERIOR,BOM-2,203.87,44.59,VISUAL,Leak Detected,Pass,29L***********AN7,SUP-01,LOT-7893,WO-91393,False,0,74,65,0,0,2026-03-10 12:51:00,42.892766,90.10078,Reject,Morning,Human,False,True
857,GA-1,STN-01,MCH-007,TL-009,OP-0041,583-GHI,BODY,BOM-2,123.96,41.47,TORQ_OOS,Unknown,Pass,R9F***********17M,SUP-09,LOT-2871,WO-30589,False,0,73,65,0,0,2026-03-10 13:08:00,50.20218,66.25122,Unknown,Morning,Automated,False,True
910,GA-1,STN-01,MCH-020,TL-028,OP-0038,310-GHI,INTERIOR,BOM-2,222.39,75.04,TEMP_OOS,Leak Detected,Pass,LJK***********5FV,SUP-01,LOT-6519,WO-16912,False,1,62,60,0,0,2026-03-10 13:34:00,57.90852,89.658,Repair,Morning,Automated,False,True
939,GA-2,STN-01,MCH-006,TL-013,OP-0044,395-ABC,BODY,BOM-1,182.74,58.69,VISUAL,Torque Out Of Spec,Fail,2AS***********N9R,SUP-09,LOT-1965,WO-44284,False,0,67,66,0,0,2026-03-10 13:49:00,51.45139999999999,90.89079999999998,Repair,Morning,Automated,False,True
954,GA-2,STN-01,MCH-010,TL-014,OP-0023,569-JKL,BODY,BOM-3,201.25,62.44,Unknown,Unknown,Rework,F4C***********4DL,SUP-02,LOT-4516,WO-55164,False,0,51,45,0,0,2026-03-10 13:56:00,47.86236,196.66521,Unknown,Morning,Automated,True,False
4997,PAINT-1,STN-01,MCH-016,TL-013,OP-0007,954-JKL,ENGINE,BOM-3,163.28,59.53,TORQ_OOS,Visual Defect,Pass,XUL***********120,SUP-02,LOT-9503,WO-67118,False,0,52,42,0,0,2026-03-10 14:00:00,56.8232,204.56351999999998,Reject,Evening,Human,True,False
1149,PAINT-1,STN-01,MCH-001,TL-019,OP-0008,942-GHI,ELECTRICAL,BOM-3,290.33,70.27,TORQ_OOS,Torque Out Of Spec,Pass,CGB***********7K5,SUP-02,LOT-1517,WO-57999,False,1,76,73,0,0,2026-03-10 15:34:00,48.032,110.11968000000002,Repair,Evening,Automated,False,False
1157,GA-1,STN-01,MCH-015,TL-001,OP-0032,736-ABC,INTERIOR,BOM-2,169.95,65.39,Unknown,Leak Detected,Pass,7TP***********HTE,SUP-09,LOT-5479,WO-98181,False,0,51,52,0,0,2026-03-10 15:38:00,55.9888,68.4863,NA,Evening,Automated,False,True
1175,GA-1,STN-01,MCH-013,TL-016,OP-0008,247-JKL,ENGINE,BOM-1,229.94,-6.76,TORQ_OOS,Unknown,Pass,DWD***********LCN,SUP-09,LOT-3796,WO-81491,False,0,70,61,0,1,2026-03-10 15:47:00,55.42166,86.59008,Reject,Evening,Automated,True,True
1215,GA-1,STN-01,MCH-003,TL-008,OP-0014,381-GHI,ELECTRICAL,BOM-3,279.87,70.78,TEMP_OOS,Unknown,Fail,3R7***********Z6B,SUP-01,LOT-8487,WO-11668,False,0,69,60,0,0,2026-03-10 16:07:00,52.1739,76.66165000000001,OK,Evening,Automated,False,False
1272,GA-1,STN-01,MCH-001,TL-028,OP-0033,551-GHI,INTERIOR,BOM-2,364.37,67.55,VISUAL,Unknown,Pass,H4G***********TU0,SUP-09,LOT-5785,WO-95705,False,0,64,54,0,0,2026-03-10 16:35:00,49.07796,73.61694,NA,Evening,Automated,False,True
1286,GA-1,STN-01,MCH-007,TL-022,OP-0033,799-DEF,BODY,BOM-1,198.05,73.97,Unknown,Unknown,Rework,1BM***********EYE,SUP-01,LOT-4968,WO-97134,False,0,61,62,0,0,2026-03-10 16:42:00,53.65098,84.19385999999999,OK,Evening,Automated,False,True
1311,PAINT-1,STN-01,MCH-005,TL-001,OP-0003,823-GHI,ELECTRICAL,BOM-3,339.75,60.51,TEMP_OOS,Visual Defect,Rework,PN5***********59Z,SUP-09,LOT-1353,WO-72696,False,0,79,75,0,0,2026-03-10 16:55:00,57.8721,95.33667000000001,Repair,Evening,Human,False,False
1316,GA-2,STN-01,MCH-016,TL-027,OP-0017,984-JKL,INTERIOR,BOM-2,230.09,57.51,Unknown,Leak Detected,Pass,VE2***********829,SUP-02,LOT-1110,WO-33827,False,0,64,68,0,0,2026-03-10 16:57:00,49.465996,78.54264,Reject,Evening,Automated,False,True
1509,BODY-1,STN-01,MCH-019,TL-021,OP-0017,162-DEF,BODY,BOM-1,294.32,64.4,LEAK,Unknown,Pass,ZJX***********70W,SUP-01,LOT-7421,WO-55673,False,0,56,57,0,0,2026-03-10 18:34:00,51.80841,84.38256,Reject,Evening,Automated,False,True
1512,GA-1,STN-01,MCH-019,TL-002,OP-0041,691-DEF,ELECTRICAL,BOM-1,197.61,67.99,Unknown,Unknown,Pass,96K***********EN1,SUP-09,LOT-4377,WO-97052,False,0,72,66,0,0,2026-03-10 18:35:00,52.57196,89.66384000000001,NA,Evening,Human,False,True
1669,PAINT-1,STN-01,MCH-007,TL-005,OP-0022,565-GHI,ENGINE,BOM-3,190.22,54.01,Unknown,Visual Defect,Pass,8Z7***********ZEG,SUP-01,LOT-9177,WO-50278,False,0,77,72,0,0,2026-03-10 19:54:00,57.3852,68.07072,Repair,Evening,Human,False,False
1674,BODY-1,STN-01,MCH-006,TL-008,OP-0030,891-JKL,INTERIOR,BOM-2,159.91,66.59,TEMP_OOS,Visual Defect,Pass,L7R***********WVM,SUP-01,LOT-7284,WO-54082,False,0,70,70,0,0,2026-03-10 19:56:00,42.47076,85.23375,Repair,Evening,Automated,False,True
1645,GA-1,STN-01,MCH-019,TL-027,OP-0029,138-JKL,ELECTRICAL,BOM-2,125.86,64.56,Unknown,Visual Defect,Pass,5S3***********D12,SUP-02,LOT-7933,WO-39557,False,0,56,59,0,0,2026-03-10 20:10:00,49.97928,82.39556,OK,Evening,Human,False,True
1708,BODY-1,STN-01,MCH-010,TL-005,OP-0014,539-ABC,ENGINE,BOM-3,359.71,68.32,LEAK,Unknown,Pass,NFR***********C6S,SUP-09,LOT-9411,WO-31461,False,0,59,52,0,0,2026-03-10 20:13:00,49.42692,59.86368,Repair,Evening,Human,False,False
1741,GA-2,STN-01,MCH-018,TL-007,OP-0036,540-GHI,ENGINE,BOM-3,292.16,59.9,LEAK,Unknown,Pass,24W***********6JC,SUP-09,LOT-9103,WO-79161,False,0,78,78,0,0,2026-03-10 20:30:00,48.86594,95.0739,Reject,Evening,Automated,False,False
1941,GA-1,STN-01,MCH-008,TL-010,OP-0011,905-DEF,BODY,BOM-3,398.79,70.77,Unknown,Unknown,Pass,XLU***********TE9,SUP-02,LOT-3274,WO-18453,False,0,56,47,0,0,2026-03-10 22:10:00,53.09304,173.52103999999997,Reject,Night,Human,True,False
1948,BODY-1,STN-01,MCH-001,TL-003,OP-0043,145-ABC,ELECTRICAL,BOM-3,484.09,50.8,Unknown,Torque Out Of Spec,Fail,L4W***********5GJ,SUP-09,LOT-6120,WO-33194,False,0,50,43,0,0,2026-03-10 22:13:00,52.97068,56.85656,Reject,Night,Human,False,False
1989,GA-1,STN-01,MCH-011,TL-013,OP-0011,423-JKL,INTERIOR,BOM-2,205.88,49.64,Unknown,Unknown,Pass,CXJ***********HSC,SUP-02,LOT-3059,WO-13476,False,0,77,81,0,0,2026-03-10 22:34:00,47.3765,63.43464,Repair,Night,Human,False,True
2002,GA-1,STN-01,MCH-012,TL-016,OP-0018,966-JKL,INTERIOR,BOM-3,218.64,59.99,Unknown,Visual Defect,Pass,GZJ***********G0T,SUP-01,LOT-7333,WO-82904,False,0,62,56,0,0,2026-03-10 22:40:00,59.30461,87.59301,NA,Night,Automated,False,False
2009,BODY-1,STN-01,MCH-017,TL-025,OP-0029,588-GHI,ENGINE,BOM-1,221.93,67.13,TEMP_OOS,Torque Out Of Spec,Pass,TGC***********NWH,SUP-02,LOT-6234,WO-91780,False,0,74,75,0,0,2026-03-10 22:44:00,55.48011300000001,59.08032000000001,Unknown,Night,Automated,False,True
2042,BODY-1,STN-01,MCH-004,TL-013,OP-0043,804-DEF,INTERIOR,BOM-2,129.58,56.89,VISUAL,Unknown,Pass,TXV***********0YN,SUP-01,LOT-2939,WO-59536,False,0,57,51,0,0,2026-03-10 23:00:00,52.542,176.84135999999998,Repair,Night,Human,True,True
2073,GA-2,STN-01,MCH-016,TL-016,OP-0037,439-DEF,BODY,BOM-1,110.99,56.29,Unknown,Torque Out Of Spec,Fail,KXW***********44C,SUP-01,LOT-9236,WO-40321,False,0,75,69,0,0,2026-03-10 23:16:00,45.14894,81.24640000000001,NA,Night,Human,False,True
2084,PAINT-1,STN-01,MCH-009,TL-002,OP-0042,867-GHI,INTERIOR,BOM-3,150.56,67.13,Unknown,Leak Detected,Rework,KPP***********FPB,SUP-02,LOT-9171,WO-94397,False,0,77,80,0,0,2026-03-10 23:21:00,44.69427,178.97886,Unknown,Night,Human,True,False
2106,GA-2,STN-01,MCH-019,TL-018,OP-0026,417-ABC,ENGINE,BOM-1,196.51,57.61,Unknown,Torque Out Of Spec,Pass,Y0V***********5XH,SUP-02,LOT-3983,WO-57660,False,0,65,60,0,0,2026-03-10 23:32:00,47.98121999999999,162.02354,Reject,Night,Automated,True,True
2136,PAINT-1,STN-01,MCH-009,TL-022,OP-0041,574-ABC,ELECTRICAL,BOM-2,257.83,51.66,LEAK,Torque Out Of Spec,Pass,5YY***********LRW,SUP-09,LOT-7116,WO-54949,False,0,54,50,0,0,2026-03-10 23:47:00,50.89312999999999,144.69996999999998,Repair,Night,Automated,True,True
2275,GA-1,STN-01,MCH-002,TL-012,OP-0035,707-ABC,ELECTRICAL,BOM-3,135.23,67.22,Unknown,Unknown,Pass,VHU***********36S,SUP-09,LOT-7183,WO-48117,False,0,52,48,0,0,2026-03-11 00:57:00,44.2128,89.0112,Repair,Night,Automated,False,False
2541,GA-2,STN-01,MCH-018,TL-023,OP-0049,765-GHI,ENGINE,BOM-3,265.42,65.84,TEMP_OOS,Torque Out Of Spec,Rework,3DH***********LEF,SUP-09,LOT-8707,WO-91415,False,0,69,61,0,0,2026-03-11 03:10:00,39.7188,74.02139999999999,Reject,Night,Automated,False,False
2674,GA-1,STN-01,MCH-017,TL-016,OP-0031,663-JKL,ELECTRICAL,BOM-2,166.55,70.55,TORQ_OOS,Torque Out Of Spec,Pass,XZG***********BS7,SUP-02,LOT-8308,WO-51032,False,0,73,73,0,0,2026-03-11 04:16:00,58.7995,96.6357,Reject,Night,Human,False,True
2718,PAINT-1,STN-01,MCH-018,TL-019,OP-0034,484-GHI,BODY,BOM-2,141.32,51.99,Unknown,Unknown,Pass,67S***********8G8,SUP-01,LOT-3831,WO-38341,False,0,64,58,0,0,2026-03-11 04:38:00,52.92036,205.49725999999998,Repair,Night,Automated,True,True
2933,GA-1,STN-01,MCH-001,TL-029,OP-0030,567-ABC,ELECTRICAL,BOM-2,470.41,62.14,Unknown,Unknown,Unknown,0HX***********LZV,SUP-01,LOT-5586,WO-17149,False,0,76,75,0,0,2026-03-11 06:26:00,40.723452,77.27466000000001,OK,Morning,Human,False,True
2935,BODY-1,STN-01,MCH-001,TL-028,OP-0012,299-GHI,BODY,BOM-3,314.34,47.07,TORQ_OOS,Unknown,Pass,35D***********0AR,SUP-01,LOT-5586,WO-98725,False,0,64,65,0,0,2026-03-11 06:27:00,45.105,102.14099999999999,Reject,Morning,Human,False,False
2944,GA-1,STN-01,MCH-017,TL-007,OP-0021,416-ABC,INTERIOR,BOM-2,144.49,69.7,VISUAL,Leak Detected,Pass,LXW***********H0F,SUP-09,LOT-9674,WO-94852,False,0,66,64,0,0,2026-03-11 06:31:00,50.69698,181.88299,Reject,Morning,Human,True,True
2953,BODY-1,STN-01,MCH-011,TL-006,OP-0007,819-JKL,ELECTRICAL,BOM-2,193.04,62.18,VISUAL,Unknown,Pass,9U5***********AXP,SUP-09,LOT-6954,WO-46920,False,0,71,68,0,0,2026-03-11 06:36:00,48.99,182.83068,Repair,Morning,Human,True,True
3168,GA-2,STN-01,MCH-001,TL-021,OP-0006,848-DEF,BODY,BOM-3,309.43,75.2,LEAK,Leak Detected,Pass,6XT***********8NF,SUP-02,LOT-7780,WO-27626,False,0,54,54,0,0,2026-03-11 08:23:00,54.63975000000001,92.89775,Reject,Morning,Human,False,False
3171,PAINT-1,STN-01,MCH-012,TL-006,OP-0002,867-GHI,ELECTRICAL,BOM-3,224.32,53.2,Unknown,Unknown,Pass,NZW***********XA6,SUP-09,LOT-5800,WO-71826,False,0,51,50,0,0,2026-03-11 08:25:00,55.157565,83.2761,Unknown,Morning,Automated,False,False
3312,GA-2,STN-01,MCH-005,TL-004,OP-0031,970-JKL,ENGINE,BOM-1,125.55,66.12,LEAK,Torque Out Of Spec,Pass,FZA***********E5Z,SUP-02,LOT-7264,WO-64596,False,0,57,52,0,0,2026-03-11 09:35:00,55.11753,81.90072,Repair,Morning,Automated,False,True
3412,BODY-1,STN-01,MCH-009,TL-020,OP-0006,918-DEF,BODY,BOM-2,166.28,73.33,VISUAL,Torque Out Of Spec,Pass,L6G***********LYA,SUP-02,LOT-5026,WO-72478,False,0,63,60,0,0,2026-03-11 10:25:00,59.013450000000006,66.0318,OK,Morning,Automated,False,True
3455,BODY-1,STN-01,MCH-014,TL-022,OP-0026,961-ABC,ELECTRICAL,BOM-3,281.91,62.86,TEMP_OOS,Visual Defect,Pass,UAJ***********C7Z,SUP-09,LOT-6783,WO-86149,False,0,79,74,0,0,2026-03-11 10:47:00,45.50390000000001,222.88675,Unknown,Morning,Automated,True,False
3507,BODY-1,STN-01,MCH-005,TL-029,OP-0008,886-JKL,BODY,BOM-2,161.45,60.23,TEMP_OOS,Visual Defect,Unknown,DK4***********F41,SUP-01,LOT-1165,WO-29656,False,0,50,41,0,0,2026-03-11 11:13:00,48.67718000000001,161.07905,Reject,Morning,Human,True,True
3749,BODY-1,STN-01,MCH-008,TL-020,OP-0045,251-JKL,ELECTRICAL,BOM-2,248.16,63.93,Unknown,Unknown,Pass,5K7***********YC0,SUP-02,LOT-6614,WO-86137,False,0,73,67,0,0,2026-03-11 13:14:00,55.2156,83.3129,OK,Morning,Automated,False,True
3872,GA-1,STN-01,MCH-020,TL-016,OP-0001,269-DEF,ENGINE,BOM-3,302.12,61.06,TORQ_OOS,Unknown,Pass,T5N***********J29,SUP-09,LOT-9180,WO-13308,False,0,51,42,0,0,2026-03-11 14:15:00,50.202509,69.629,Repair,Evening,Human,False,False
3887,GA-1,STN-01,MCH-006,TL-024,OP-0038,408-DEF,BODY,BOM-2,185.01,53.6,Unknown,Torque Out Of Spec,Rework,DF1***********ZZ7,SUP-02,LOT-1270,WO-16407,False,0,61,57,0,0,2026-03-11 14:23:00,47.5349,73.43657,Reject,Evening,Automated,False,True
3902,BODY-1,STN-01,MCH-006,TL-009,OP-0029,488-DEF,ENGINE,BOM-1,227.66,43.27,TORQ_OOS,Unknown,Pass,1RZ***********C7M,SUP-09,LOT-2555,WO-80622,False,0,54,48,0,0,2026-03-11 14:30:00,49.347710000000006,94.74355000000001,Reject,Evening,Automated,False,True
3930,PAINT-1,STN-01,MCH-008,TL-026,OP-0018,845-GHI,ENGINE,BOM-1,285.92,42.85,TORQ_OOS,Unknown,Pass,RKC***********1YS,SUP-01,LOT-1424,WO-17873,False,0,77,71,0,0,2026-03-11 14:44:00,51.65337999999999,180.97885,Reject,Evening,Automated,True,True
3969,PAINT-1,STN-01,MCH-010,TL-022,OP-0035,622-DEF,BODY,BOM-1,329.11,57.32,LEAK,Temperature High,Pass,D5C***********WAX,SUP-01,LOT-4807,WO-17088,False,0,69,70,0,0,2026-03-11 15:04:00,44.3555,101.3985,Unknown,Evening,Automated,False,True
4093,GA-2,STN-01,MCH-010,TL-014,OP-0046,163-ABC,INTERIOR,BOM-3,256.03,56.59,LEAK,Unknown,Rework,SX0***********J6D,SUP-09,LOT-6317,WO-99607,False,0,73,64,0,0,2026-03-11 16:06:00,45.58708,98.24976,Repair,Evening,Automated,False,False
4213,GA-2,STN-01,MCH-007,TL-018,OP-0036,537-JKL,INTERIOR,BOM-2,291.66,56.54,TEMP_OOS,Torque Out Of Spec,Rework,PMW***********JYJ,SUP-09,LOT-1294,WO-87180,False,0,73,71,0,0,2026-03-11 17:06:00,50.97597,190.63836,NA,Evening,Human,True,True
4250,GA-2,STN-01,MCH-018,TL-029,OP-0031,888-GHI,ENGINE,BOM-3,301.19,65.41,TEMP_OOS,Temperature High,Pass,87P***********1B2,SUP-09,LOT-9067,WO-51995,False,0,77,73,0,0,2026-03-11 17:24:00,52.33354,79.40957999999999,Repair,Evening,Human,False,False
4258,GA-1,STN-01,MCH-006,TL-009,OP-0020,843-JKL,ENGINE,BOM-3,217.93,69.6,Unknown,Unknown,Pass,HRJ***********7V9,SUP-02,LOT-4946,WO-25669,False,0,67,69,0,0,2026-03-11 17:28:00,46.06387,179.28098,Unknown,Evening,Automated,True,False
4296,BODY-1,STN-01,MCH-010,TL-010,OP-0010,578-GHI,BODY,BOM-3,193.4,60.57,TORQ_OOS,Temperature High,Pass,SKZ***********EXU,SUP-01,LOT-6639,WO-64173,False,0,64,59,0,0,2026-03-11 17:47:00,50.93436,81.9293,Unknown,Evening,Human,False,False
4324,GA-2,STN-01,MCH-018,TL-010,OP-0013,670-JKL,BODY,BOM-2,184.61,68.77,LEAK,Torque Out Of Spec,Pass,N3M***********ASV,SUP-01,LOT-6115,WO-50267,False,0,51,44,0,0,2026-03-11 18:01:00,53.45746,91.62727,Unknown,Evening,Automated,False,True
4411,GA-1,STN-01,MCH-016,TL-007,OP-0015,824-ABC,INTERIOR,BOM-2,160.42,54.57,Unknown,Unknown,Pass,ZNE***********4BE,SUP-09,LOT-2290,WO-22788,False,0,71,69,0,0,2026-03-11 18:45:00,58.64352,197.72376,Reject,Evening,Automated,True,True
4418,GA-1,STN-01,MCH-005,TL-011,OP-0032,781-JKL,BODY,BOM-2,290.16,58.21,Unknown,Torque Out Of Spec,Pass,4SV***********M6S,SUP-01,LOT-9721,WO-86154,False,0,63,67,0,0,2026-03-11 18:48:00,44.97384,90.3448,NA,Evening,Human,False,True
4446,GA-2,STN-01,MCH-007,TL-001,OP-0026,759-ABC,INTERIOR,BOM-2,249.46,27.92,Unknown,Torque Out Of Spec,Fail,V5X***********BCU,SUP-09,LOT-2449,WO-60223,False,0,70,70,0,0,2026-03-11 19:02:00,47.85136000000001,79.88744,Unknown,Evening,Human,False,True
4483,BODY-1,STN-01,MCH-018,TL-027,OP-0035,565-JKL,ELECTRICAL,BOM-3,346.34,65.28,TEMP_OOS,Torque Out Of Spec,Rework,676***********H5B,SUP-02,LOT-8078,WO-58235,False,0,51,47,0,0,2026-03-11 19:21:00,41.98301,96.6486,Reject,Evening,Human,False,False
4520,GA-2,STN-01,MCH-009,TL-013,OP-0041,965-JKL,INTERIOR,BOM-2,266.45,66.19,TORQ_OOS,Unknown,Pass,EZ7***********MUF,SUP-09,LOT-8601,WO-12772,False,0,69,59,0,0,2026-03-11 19:39:00,50.33732,71.96903999999999,Repair,Evening,Human,False,True
4757,PAINT-1,STN-01,MCH-003,TL-017,OP-0018,427-ABC,BODY,BOM-1,241.78,68.14,TORQ_OOS,Unknown,Fail,HZU***********2YT,SUP-02,LOT-7983,WO-86681,False,0,77,81,0,0,2026-03-11 21:38:00,52.02708,84.92358,Repair,Evening,Human,False,True
4804,BODY-1,STN-01,MCH-014,TL-022,OP-0014,639-ABC,INTERIOR,BOM-1,168.7,57.87,TORQ_OOS,Torque Out Of Spec,Pass,3F8***********695,SUP-09,LOT-1462,WO-58866,False,0,76,70,0,0,2026-03-11 22:01:00,60.660250000000005,72.9962,Reject,Night,Human,False,True
4844,GA-1,STN-01,MCH-001,TL-028,OP-0037,483-JKL,INTERIOR,BOM-2,339.7,74.16,LEAK,Unknown,Pass,75B***********89A,SUP-09,LOT-7160,WO-30110,False,0,62,57,0,0,2026-03-11 22:21:00,46.91326,67.48066000000001,OK,Night,Automated,False,True
4890,GA-2,STN-01,MCH-015,TL-016,OP-0010,451-ABC,INTERIOR,BOM-2,222.63,59.52,TEMP_OOS,Leak Detected,Pass,NGM***********RTK,SUP-01,LOT-6483,WO-60797,False,0,74,65,0,0,2026-03-11 22:44:00,41.3755,170.5867,Unknown,Night,Automated,True,True
4916,GA-1,STN-01,MCH-004,TL-013,OP-0045,923-DEF,ENGINE,BOM-1,299.18,57.72,LEAK,Unknown,Pass,Y4P***********3Y8,SUP-01,LOT-8707,WO-17155,False,0,64,64,0,0,2026-03-11 22:57:00,44.968175,96.29445000000001,Repair,Night,Automated,False,True
4959,BODY-1,STN-01,MCH-020,TL-004,OP-0017,629-ABC,INTERIOR,BOM-3,116.36,56.15,TEMP_OOS,Unknown,Pass,DSZ***********LFH,SUP-02,LOT-3262,WO-64925,False,0,54,44,0,0,2026-03-11 23:19:00,48.713379,94.03251,Reject,Night,Human,False,False
5010,GA-2,STN-01,MCH-012,TL-013,OP-0023,118-ABC,ELECTRICAL,BOM-3,190.7,46.87,VISUAL,Unknown,Pass,RMJ***********1XC,SUP-09,LOT-3923,WO-65832,False,0,73,68,0,0,2026-03-11 23:44:00,46.07928,89.99244,Reject,Night,Automated,False,False
5032,BODY-1,STN-01,MCH-019,TL-006,OP-0031,581-DEF,ELECTRICAL,BOM-2,191.7,46.04,LEAK,Unknown,Pass,L29***********Y8R,SUP-09,LOT-7533,WO-78576,False,0,57,50,0,0,2026-03-11 23:55:00,51.740640000000006,147.6216,Reject,Night,Automated,True,True
5068,GA-1,STN-01,MCH-010,TL-004,OP-0045,946-ABC,BODY,BOM-2,146.14,67.02,Unknown,Unknown,Pass,12W***********HGP,SUP-01,LOT-4659,WO-83579,False,0,55,56,0,0,2026-03-12 00:13:00,53.322300000000006,188.05815,Unknown,Night,Human,True,True
5110,GA-2,STN-01,MCH-003,TL-009,OP-0043,254-GHI,ELECTRICAL,BOM-2,175.34,45.66,TORQ_OOS,Temperature High,Pass,FLA***********G7M,SUP-02,LOT-2650,WO-19002,False,0,72,68,1,0,2026-03-12 00:34:00,43.99302,65.05872000000001,Reject,Night,Human,False,True
