Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift
26,ga-1, STN-03 ,2026/03/10 06:12,139-GHI,BOM-3,48.2 Nm,94.9 c,143.6psi,65.26,Reject,Human,TL-007,sup-09,4T6WMH7NM6L0XJ52N,WO-12216,0,Temperature High,0.9935,Evening
27,GA-2,stn-07,2026-03-10 06:13,276-def,BOM-1,52.7,75.4 c,9.1 bar,60.6,REJ,AUTO,TL-010,sup-01,6JSKVVBVM7HFCNBNS,WO-45637,0,Leak Detected,1.0,Evening
28,ga-1, STN-03 ,2026-03-10 06:13,,BOM-2,51.8 Nm,84.2,121.4psi,66.34,None,automated,TL-016,SUP-09,WAWUBC4GJEMA6NA7C,WO-86830,0,Leak Detected,1.0047,Evening
29,GA-1,stn-01,10-03-2026 06:14,455abc,BOM-2,,186.7F,136.5psi,68.63,REP,Automated,TL-022,sup-09,INVALID416,WO-83522,0,Torque Out of Spec,1.0117,Evening
30,ga-2,STN-05,10-03-2026 06:14,552abc,BOM-3,52.2 Nm,206.9F,149.4psi,65.31,REJ,HUMAN,TL-023,sup-09,T4LHFT7VWFET2B72R,WO-89472,0,,0.992,Night
31, Ga-1 ,stn-04,2026-03-10 06:15,,BOM-2,60.7Nm,170.3F,102.4psi,57.25,OK,human,TL-020,sup-01,PTPY8HZC9UABCCVY6,WO-21796,0,Visual Defect,0.996,Evening
32,GA-1,stn-01,,536-def,BOM-1,48.0,,8.8 bar,65.2,None,HUMAN,TL-004,sup-09,LS7DLM9RHXN74KZTT,WO-75382,0,Visual Defect,1.0271,Morning
33,GA-2,STN-06,2026-03-10 06:16,869-DEF,BOM-3,47.4 Nm,149.0F,7.0 bar,82.35,REP,HUMAN,TL-003,sup-01,770V5EC2PL7175C,WO-41646,0,Visual Defect,0.9944,Evening
34,GA-2,stn-01,10-03-2026 06:16,951ghi,BOM-1,,95.5C,9.1 bar,45.1,REP,human,TL-018,SUP-01,U175BR7SEBZRY3N85,WO-20923,0,,0.9885,Evening
35, Ga-2 ,STN-05,2026/03/10 06:17,315-ABC,BOM-3,53.1 Nm,84.2C,11.8 bar,64.87,Reject,Human,TL-022,sup-02,XH59MBEF9P47C8HV9,WO-25046,0,Leak Detected,0.9983,Evening
36, Ga-2 , STN-02 ,2026-03-10 06:17,373-abc,BOM-1,55.6 Nm,184.2F,119.2psi,78.32,REP,Human,TL-015,sup-01,TXA24P3P,WO-62153,0,,1.0016,Morning
37,GA-2, STN-03 ,10-03-2026 06:18,419-DEF,BOM-1,49.4Nm,232.1F,11.1 bar,48.25,na,AUTO,TL-022,SUP-02,ZVGKB8UN1TAKU4C8X,WO-42404,0,Temperature High,0.9692,Evening
38, Ga-1 ,stn-04,,888-DEF,BOM-1,45.8Nm,83.3,207.0psi,70.01,Repair,HUMAN,TL-017,SUP-01,8PZYUNRGFSBLVCL2K,WO-43692,0,Visual Defect,0.9911,Morning
39,ga-1,stn-02,2026-03-10 06:19,965-DEF,BOM-3,45.9,67.0 c,12.2 bar,71.35,Repair,HUMAN,TL-009,SUP-09,DACTKRUTTVGDJ34NB,WO-24518,0,Torque Out of Spec,1.0084,Evening
40,ga-1,stn-05,2026-03-10 06:19,668def,BOM-3,53.3 Nm,172.5F,10.2 bar,45.23,Reject,automated,TL-021,sup-09,09R285HZ6WBJMLP7A,WO-85578,0,Torque Out of Spec,1.0401,Night
41, Ga-2 , STN-01 ,2026/03/10 06:20,533ghi,BOM-2,53.7,70.3 c,11.3 bar,67.12,None,Human,TL-019,sup-09,HZJPWTJAA8TS6VHXT,WO-30249,0,Temperature High,0.9894,Night
42,GA-1,stn-02,2026-03-10 06:20,132abc,BOM-3,52.7 Nm,76.0,115.2psi,57.29,REJ,automated,TL-010,sup-09,CV863PKET0XNZN1HA,WO-75985,0,Temperature High,1.0153,Night
43,ga-1, STN-03 ,2026/03/10 06:21,673ghi,BOM-3,46.7Nm,168.8F,7.6 bar,59.4,REJ,automated,TL-015,sup-02,GA0N3HWTCBGS0DYKK,WO-21520,0,,1.0036,Morning
44,GA-2,STN-02,2026-03-10 06:21,327abc,BOM-2,51.2Nm,74.1,10.0 bar,56.75,REJ,automated,TL-014,SUP-01,6EZ9C81F,WO-12977,1,Torque Out of Spec,1.0232,Night
45,GA-2,STN-01,10-03-2026 06:22,179-def,BOM-3,50.6Nm,66.1 c,10.6 bar,73.13,Reject,automated,TL-003,sup-09,Y08RF8DBHMYA1DLUF,WO-81424,0,Visual Defect,0.9876,Morning
46,GA-1,STN-06,10-03-2026 06:22,199-abc,BOM-2,51.1 Nm,204.7F,168.8psi,58.88,REJ,AUTO,TL-007,SUP-09,NCWRS4GUV3CPU9PPT,WO-81662,0,,1.0221,Evening
47,GA-1, STN-06 ,10-03-2026 06:23,121ABC,BOM-1,54.4 Nm,83.0 c,9.1 bar,55.37,OK,HUMAN,TL-006,sup-01,7VWBHSSYKS,WO-69003,0,Torque Out of Spec,1.028,Night
48,GA-1,stn-01,2026-03-10 06:23,637ghi,BOM-2,51.1,171.9F,10.3 bar,55.54,Repair,Automated,TL-007,sup-02,NN1SMF9468SU1UH56,WO-85591,0,Leak Detected,1.0289,Morning
49,GA-1,stn-03,10-03-2026 06:24,829ABC,BOM-1,53.4 Nm,87.6C,10.2 bar,56.59,Repair,Human,TL-013,sup-01,BYJH3R2RK9E91UBV0,WO-78603,0,Torque Out of Spec,1.0285,Morning
50,ga-2,STN-06,,328-GHI,BOM-2,50.3 Nm,84.7 c,142.1psi,49.2,Reject,HUMAN,TL-013,sup-02,1GMJLWYLBH1UU5MW9,WO-48922,0,Leak Detected,1.0038,Evening
51,GA-2, STN-07 ,10-03-2026 06:25,664GHI,BOM-1,51.4 Nm,82.8,9.9 bar,55.28,Repair,Human,TL-021,SUP-02,69C9W5X8FX9JTCNDC,WO-60352,0,Torque Out of Spec,1.0117,Morning
52,GA-2, STN-02 ,,266ghi,BOM-1,53.2Nm,86.8 c,126.4psi,61.18,OK,Human,TL-001,SUP-02,XMZ22Y3L9AZA47F8T,WO-90465,0,,0.9916,Evening
53, Ga-2 ,stn-02,10-03-2026 06:26,281GHI,BOM-3,42.7 Nm,81.3 c,10.4 bar,64.04,OK,automated,TL-020,SUP-02,GDSPGLEBGXDFYCN2N,WO-32867,0,Visual Defect,0.9555,Night
54, Ga-1 ,stn-07,10-03-2026 06:26,410DEF,BOM-2,48.4 Nm,188.1F,149.2psi,72.04,REP,AUTO,TL-006,SUP-02,V8VYMNZBUT3WPK,WO-47209,0,Leak Detected,1.0051,Evening
55,GA-1, STN-03 ,10-03-2026 06:27,175ghi,BOM-2,47.6Nm,87.5C,9.3 bar,62.41,OK,human,TL-009,sup-01,8TXY4XLTSB8XKE6HM,WO-99428,0,Torque Out of Spec,0.9968,Morning
56,ga-1,STN-04,,652-abc,BOM-1,46.8Nm,81.6,159.5psi,55.26,REP,HUMAN,TL-004,sup-09,2JNWBFFUZA3YGFV8L,WO-98363,0,,1.0193,Morning
57,ga-2, STN-06 ,10-03-2026 06:28,433-DEF,BOM-1,48.6 Nm,77.8 c,11.5 bar,49.89,Repair,Human,TL-001,sup-09,USSTLZUP,WO-90599,0,Temperature High,1.0172,Morning
58,GA-2, STN-06 ,10-03-2026 06:28,281-DEF,BOM-3,57.5 Nm,95.3 c,11.0 bar,62.94,Reject,AUTO,TL-003,sup-01,INVALID920,WO-79967,0,Leak Detected,0.9788,Night
59,ga-1,STN-03,10-03-2026 06:29,513def,BOM-2,45.7 Nm,75.2 c,122.3psi,58.83,REP,HUMAN,TL-006,SUP-02,41NAP1DFSV2CCEHPF,WO-44527,0,Leak Detected,1.0468,Evening
60,ga-1,STN-07,2026-03-10 06:29,366-DEF,BOM-2,54.8Nm,83.9C,10.1 bar,59.16,na,HUMAN,TL-010,sup-09,V9R9FTSD4A2RH12LP,WO-39794,1,Leak Detected,1.0078,Night
61,ga-2,stn-03,2026-03-10 06:30,811abc,BOM-2,41.6 Nm,84.1 c,,62.63,REP,automated,TL-008,SUP-02,KKJN763WZXNNW7JU2,WO-74219,0,Temperature High,0.9743,Night
62,ga-1,STN-01,2026-03-10 06:30,631ghi,BOM-3,48.3,73.9C,147.1psi,65.19,,Automated,TL-003,sup-02,AHB96H59G9JN1VXKS,WO-38866,0,Visual Defect,0.9771,Night
63,ga-1,stn-07,10-03-2026 06:31,677-abc,BOM-1,50.8Nm,71.9C,8.6 bar,62.7,REP,human,TL-009,SUP-01,VDM2J398FEYAXTL7Y,WO-67291,0,,0.9564,Morning
64, Ga-2 , STN-02 ,2026-03-10 06:31,393-abc,BOM-3,52.9 Nm,169.6F,172.8psi,58.29,Reject,automated,TL-004,sup-02,69RY9L2CVENLJLS4W,WO-69639,0,Visual Defect,1.0153,Morning
65,GA-1,stn-06,2026/03/10 06:32,973-GHI,BOM-2,53.6 Nm,75.1C,162.0psi,51.99,None,HUMAN,TL-017,SUP-02,UVE7S2WSJ070BMCVJ,WO-90041,0,Visual Defect,0.9895,Morning
66,GA-2,STN-07,2026/03/10 06:32,672ABC,BOM-1,54.0,149.8F,170.1psi,53.87,None,Automated,TL-017,sup-01,LXHTWUFV35XL3LEC3,WO-12988,0,Visual Defect,0.9832,Evening
67,ga-1,STN-06,2026-03-10 06:33,277-ABC,BOM-1,48.3 Nm,164.3F,167.9psi,68.48,Repair,Human,TL-002,SUP-02,LMRYWWMH16L8PRHMZ,WO-67464,0,Torque Out of Spec,0.9871,Evening
68, Ga-1 , STN-02 ,10-03-2026 06:33,833-ghi,BOM-1,47.7 Nm,82.7 c,9.6 bar,55.76,REJ,automated,TL-016,sup-01,EE1R2NA3BKMEXFZ34,WO-29020,0,Visual Defect,0.994,Night
69, Ga-1 ,stn-03,,121-abc,BOM-1,54.3 Nm,92.7,9.4 bar,46.54,Repair,HUMAN,TL-022,SUP-02,GNZ80SKA61952D5YG,WO-70280,0,Visual Defect,1.0115,Morning
70, Ga-2 ,STN-02,,225-ghi,BOM-2,49.0 Nm,85.5,12.6 bar,71.6,Repair,HUMAN,TL-023,sup-02,8GKSNPTE4Y7ZT3G99,WO-91000,0,Visual Defect,0.9671,Morning
71,GA-1,stn-03,2026/03/10 06:35,698abc,BOM-1,43.6,54.0,9.8 bar,50.58,Reject,HUMAN,TL-002,SUP-02,T7110R9RVFSRJSMXE,WO-19579,0,Torque Out of Spec,0.9786,Evening
72,ga-2,STN-01,2026-03-10 06:35,348-DEF,BOM-3,44.3,86.4C,8.0 bar,60.35,Reject,human,TL-023,SUP-01,PZT5SV4BLWYLY4LZ8,WO-66255,0,Leak Detected,1.0093,Evening
73, Ga-1 , STN-07 ,2026-03-10 06:36,920-GHI,BOM-1,45.4Nm,166.0F,166.9psi,64.91,None,Automated,TL-010,sup-02,HCMSC135RZ2PDX69F,WO-87481,0,Visual Defect,0.9881,Evening
74,GA-2,stn-04,10-03-2026 06:36,,BOM-2,52.5Nm,84.5,10.2 bar,60.03,REJ,AUTO,TL-021,SUP-01,F6ZJCCWHGVZKRD1AC,WO-43955,0,,1.0116,Night
75, Ga-2 ,STN-05,10-03-2026 06:37,736def,BOM-2,50.7 Nm,79.9 c,12.3 bar,35.22,REP,Automated,TL-005,SUP-01,KTD6UR4K28FR7PTX6,WO-99034,0,Torque Out of Spec,0.9901,Night
76,GA-2, STN-04 ,10-03-2026 06:37,272abc,BOM-1,53.5 Nm,172.5F,10.4 bar,63.9,REP,automated,TL-017,SUP-02,DY2NXGUFK0420HNKH,WO-90200,0,Leak Detected,1.0315,Morning
77, Ga-1 , STN-06 ,2026/03/10 06:38,486def,BOM-1,47.9,79.0C,144.6psi,73.26,REP,AUTO,TL-020,SUP-01,XE8V6TDE41P6R0B5H,WO-61108,0,Visual Defect,1.0042,Morning
78,GA-1,STN-06,2026-03-10 06:38,531ABC,BOM-1,,79.8,178.2psi,67.87,REP,HUMAN,TL-007,sup-01,1XS9BM9FCJ8NFLSLP,WO-21871,1,Leak Detected,1.0245,Morning
79,GA-2,stn-04,2026-03-10 06:39,547-DEF,BOM-3,53.1 Nm,93.4C,7.7 bar,38.76,REP,HUMAN,TL-018,SUP-02,9Y0Z7D1T4PKLSP4XU,WO-25362,0,Temperature High,1.0104,Morning
80,ga-2, STN-03 ,2026-03-10 06:39,549-ABC,BOM-3,48.5Nm,79.8,132.3psi,81.27,Reject,automated,TL-005,sup-02,INVALID988,WO-88474,0,Visual Defect,1.0116,Morning
81,ga-1, STN-03 ,10-03-2026 06:40,677-ghi,BOM-1,52.3Nm,90.9 c,8.7 bar,46.74,OK,Automated,TL-018,sup-01,7RKDKAA1GNF4ZL7L8,WO-70278,0,Torque Out of Spec,0.985,Evening
82, Ga-1 ,stn-05,2026/03/10 06:40,816ABC,BOM-3,46.7Nm,89.4 c,97.3psi,49.22,REJ,Human,TL-023,sup-01,S9G7X3N9A7BTS81KV,WO-49137,0,Leak Detected,1.0233,Morning
83, Ga-1 , STN-04 ,10-03-2026 06:41,751-DEF,BOM-3,48.2,86.7 c,11.3 bar,67.82,REP,AUTO,TL-008,sup-09,ETUT4R47FCHS5D4PU,WO-75184,0,Visual Defect,1.0043,Evening
84,ga-2, STN-05 ,2026/03/10 06:41,355abc,BOM-1,48.1,62.1,9.2 bar,64.53,na,Automated,TL-024,SUP-09,XXHPLHBN9K2Z9YGCP,WO-90031,0,Torque Out of Spec,0.9809,Evening
85, Ga-2 , STN-07 ,,793-abc,BOM-1,44.0Nm,91.2C,11.4 bar,60.8,Reject,HUMAN,TL-017,sup-02,NFN1LC5JGWLDUZ43M,WO-72887,0,,0.9578,Evening
86, Ga-2 , STN-02 ,2026-03-10 06:42,600-ABC,BOM-3,52.4 Nm,75.4C,10.6 bar,54.31,OK,AUTO,TL-013,sup-02,895WS9D1GP64K85BR,WO-29925,0,,1.0028,Night
87,GA-1,stn-07,2026/03/10 06:43,690-ABC,BOM-1,47.7 Nm,87.2,10.9 bar,73.31,None,Automated,TL-008,SUP-02,SG5N602AFS81511X5,WO-24428,0,Leak Detected,1.0302,Morning
88,GA-2,stn-06,10-03-2026 06:43,654-abc,BOM-2,50.1 Nm,70.3 c,9.3 bar,59.61,REJ,Human,TL-014,sup-09,PCA4WLA33W4UAJZVH,WO-53464,0,Torque Out of Spec,0.9819,Morning
89,ga-2,stn-05,10-03-2026 06:44,547-abc,BOM-2,52.4 Nm,154.7F,8.9 bar,44.34,REP,Automated,TL-024,SUP-01,INVALID108,WO-15752,0,Leak Detected,0.9812,Night
90,GA-2, STN-07 ,2026/03/10 06:44,443ABC,BOM-1,52.2Nm,99.8 c,10.1 bar,72.32,na,Automated,TL-001,SUP-09,XAY22RSD4DBKSDNJA,WO-50811,0,Temperature High,0.9937,Evening
91,GA-2,STN-02,10-03-2026 06:45,593ABC,BOM-2,53.3Nm,70.4C,165.0psi,62.19,Reject,Human,TL-021,sup-01,8NSHEUKWPBFWV5HEE,WO-15570,0,Visual Defect,1.022,Night
92,GA-2,STN-05,10-03-2026 06:45,562DEF,BOM-2,49.5Nm,91.5 c,143.9psi,71.15,Reject,automated,TL-004,SUP-02,W9DUCZV5E6WT84GHN,WO-66249,0,Leak Detected,0.9633,Morning
93,ga-1,stn-05,2026/03/10 06:46,443DEF,BOM-3,47.9Nm,178.1F,8.9 bar,65.73,Repair,automated,TL-022,sup-02,J1JYNYFKSUXLZYP2U,WO-42155,0,Temperature High,0.987,Morning
94,ga-1,STN-01,2026-03-10 06:46,688GHI,BOM-3,49.6 Nm,75.8,,83.92,REJ,Human,TL-014,sup-01,E1JM2S84YAF0L8W3J,WO-22192,0,Torque Out of Spec,0.9799,Evening
95,GA-1, STN-03 ,2026-03-10 06:47,596ABC,BOM-1,41.6,79.6C,149.4psi,56.9,Reject,automated,TL-022,SUP-09,6LCDXRVKPDE1GYAGN,WO-21982,0,Torque Out of Spec,1.0112,Evening
96,ga-2, STN-05 ,2026-03-10 06:47,846-abc,BOM-2,42.8Nm,67.0 c,9.2 bar,60.16,None,Human,TL-005,sup-09,AYP2Y4CZUSWK4SFZW,WO-67995,0,Torque Out of Spec,0.9971,Morning
97,GA-1, STN-05 ,2026-03-10 06:48,227-GHI,BOM-2,43.4,79.9C,9.9 bar,67.2,Repair,Human,TL-002,SUP-09,INVALID376,WO-43955,0,,0.9931,Evening
98,GA-1, STN-05 ,10-03-2026 06:48,408ABC,BOM-2,45.0 Nm,156.5F,9.6 bar,56.96,REJ,HUMAN,TL-012,SUP-02,2P6YABCCDK6D4FL0E,WO-50113,1,Torque Out of Spec,0.9964,Morning
99,GA-1,STN-02,,537-abc,BOM-3,52.0 Nm,168.9F,9.3 bar,68.03,,Automated,TL-019,sup-01,INVALID790,WO-51635,1,Visual Defect,1.0157,Evening
100, Ga-1 , STN-06 ,2026/03/10 06:49,660-def,BOM-1,45.5,192.7F,,30.53,Reject,Human,TL-020,sup-01,6C5GVCKH36407759H,WO-78873,0,Visual Defect,1.0224,Night
101,GA-1,stn-06,10-03-2026 06:50,,BOM-2,48.1,82.5 c,157.1psi,59.27,Reject,Automated,TL-019,sup-01,MS41GY7Y2Z6CX8JS6,WO-87737,0,Torque Out of Spec,1.0205,Evening
102,ga-1,stn-04,2026/03/10 06:50,432-ghi,BOM-2,56.5,65.2 c,187.7psi,58.97,REJ,HUMAN,TL-020,SUP-02,4S4KMZVZX4UTD28VU,WO-37187,0,Torque Out of Spec,1.0115,Night
103,GA-2,stn-05,2026/03/10 06:51,770def,BOM-2,48.2Nm,,11.1 bar,58.61,Reject,HUMAN,TL-019,SUP-09,UCA49XUHCR81BEMDR,WO-36694,0,Leak Detected,1.0277,Evening
104,GA-2, STN-05 ,2026-03-10 06:51,151GHI,BOM-2,53.7 Nm,79.9,179.7psi,51.23,Repair,HUMAN,TL-021,sup-01,INVALID649,WO-12565,0,,0.9814,Evening
105, Ga-1 ,STN-03,2026/03/10 06:52,415def,BOM-3,45.3 Nm,74.6C,8.8 bar,69.06,REP,Human,TL-005,sup-02,GGSTJ10SW8GBNR6YR,WO-47742,0,Leak Detected,1.0078,Morning
106,ga-1, STN-03 ,2026/03/10 06:52,910-abc,BOM-2,49.0Nm,87.5C,7.6 bar,54.96,REP,AUTO,TL-006,sup-09,N6TRAG9X9SS8NMJSZ,WO-15518,0,Temperature High,1.047,Morning
107,GA-2, STN-06 ,2026/03/10 06:70,882ABC,BOM-1,45.2Nm,78.3 c,,62.0,na,automated,TL-001,sup-01,2FL4RDU182ZT3GDPM,WO-87320,0,Leak Detected,0.9633,Evening
108,GA-2, STN-04 ,2026-03-10 06:53,932ABC,BOM-2,48.3 Nm,155.0F,11.3 bar,59.63,,AUTO,TL-011,SUP-01,VKNXVCZ9JKM8GY4YY,WO-97207,0,,0.9893,Night
109,GA-2,stn-03,2026-03-10 06:54,398-ABC,BOM-1,54.2Nm,98.5,11.1 bar,65.0,na,Human,TL-007,SUP-02,URM8GBZT,WO-14959,0,Visual Defect,0.9793,Evening
110, Ga-1 , STN-02 ,2026-03-10 06:54,605GHI,BOM-2,41.4 Nm,79.8 c,11.8 bar,74.31,Reject,Automated,TL-016,SUP-02,EVVZ313BR803DWPHT,WO-49503,0,Leak Detected,1.0058,Night
111,ga-1,STN-04,2026-03-10 06:55,151-abc,BOM-3,52.2,79.2C,89.8psi,61.95,REP,human,TL-014,SUP-01,H5EHU7D59ZL6NAJPT,WO-61028,0,,1.0288,Morning
112,ga-1,STN-07,,173-def,BOM-1,51.2,75.9,11.9 bar,68.41,REP,AUTO,TL-014,sup-01,W7JEJ7668D6ALWX39,WO-99078,0,Visual Defect,1.0108,Evening
113,GA-1,STN-06,2026/03/10 06:56,716ghi,BOM-1,47.0Nm,91.8C,152.3psi,61.45,REP,AUTO,TL-016,sup-02,H7U33P0TA,WO-31253,0,,0.9957,Night
114, Ga-1 ,STN-06,2026-03-10 06:56,740-ghi,BOM-1,42.8,74.8 c,111.4psi,54.94,REJ,Automated,TL-024,SUP-09,6R93EEEMHKYZZK8BG,WO-17054,0,,1.0109,Night
115,ga-2,stn-01,10-03-2026 06:57,784-GHI,BOM-2,,64.6,11.1 bar,58.58,Repair,Automated,TL-003,sup-01,AELBZGCDSKP1LZZJ1,WO-81003,0,Leak Detected,0.9942,Evening
116, Ga-1 ,stn-04,2026-03-10 06:57,222-DEF,BOM-1,47.4,73.2C,10.3 bar,57.16,REP,human,TL-007,sup-02,INVALID294,WO-35662,0,Visual Defect,1.0039,Evening
117,ga-1, STN-01 ,10-03-2026 06:58,953GHI,BOM-3,51.2,93.3C,10.6 bar,65.68,None,Human,TL-011,sup-09,INVALID555,WO-33716,0,,1.0124,Morning
118,ga-2,STN-07,10-03-2026 06:58,962-ghi,BOM-2,,88.3 c,11.5 bar,61.07,,Automated,TL-002,sup-02,XWKGMM8WPEXBY1WMJ,WO-33349,0,Leak Detected,1.0351,Night
119,GA-1,STN-07,2026/03/10 06:59,517-GHI,BOM-3,58.0Nm,77.4C,154.4psi,52.06,Reject,HUMAN,TL-020,sup-01,6CKLRDG0D27BTUAN3,WO-71900,1,Visual Defect,1.009,Morning
120,GA-1, STN-07 ,2026/03/10 06:59,858abc,BOM-2,48.8 Nm,200.7F,7.8 bar,57.78,Reject,human,TL-010,SUP-02,JYHDLJ6NKGBCALP5E,WO-65764,0,,1.0044,Night
121,GA-2, STN-05 ,2026/03/10 07:00,212-DEF,BOM-3,44.9 Nm,87.5C,9.8 bar,44.74,,Human,TL-005,SUP-02,HCFMPDJLMXJB55CBZ,WO-57268,0,,1.0407,Night
122,GA-1,stn-04,10-03-2026 07:00,709-ghi,BOM-3,50.9Nm,77.3 c,109.8psi,58.15,,HUMAN,TL-013,sup-01,04K4H0K083YPJUXD4,WO-94208,0,Torque Out of Spec,0.9609,Night
