Event_ID,Line,Station,TS,Part_No,BOM_Version,Cycle_Time,Defect,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Temp_C,Shift_Derived,Torque_Nm,Pressure_Bar,Torque_Anomaly,Temp_Anomaly,Pressure_Anomaly,Cycle_Anomaly,Tool_ID_Clean,Tool_Type,Calibration_Status,Effective_Date
570,GA-2,STN-01,2026-03-10 10:44:00,455-DEF,BOM-1,54.29,REJECT,SUP-02,Y67***********LJC,WO-55022,False,Leak Detected,1.0109,94.82242,Morning,51.45481,8.39047,False,False,False,False,TL-023,Torque Wrench,Valid,2025-01-01
605,GA-1,STN-01,2026-03-10 11:02:00,672-DEF,BOM-2,69.27,REJECT,SUP-02,HS5***********ZLB,WO-90993,False,Temperature High,0.9696,77.0832,Morning,45.37728,8.435519999999999,False,False,False,False,TL-018,Torque Wrench,Valid,2026-01-01
610,GA-2,STN-01,2026-03-10 11:04:00,214-GHI,BOM-3,58.14,REJECT,SUP-01,HHB***********R99,WO-14859,False,Temperature High,0.9845,70.6871,Morning,51.88315000000001,11.76338959445111,False,False,False,False,TL-013,Torque Wrench,Valid,2026-06-01
618,GA-2,STN-01,2026-03-10 11:08:00,212-DEF,BOM-1,65.91,REPAIR,SUP-01,6YL***********ZEC,WO-92322,False,Torque Out Of Spec,1.0213,70.36757000000001,Morning,52.290560000000006,9.1917,False,False,False,False,TL-012,Torque Wrench,Valid,2025-01-01
658,GA-1,STN-01,2026-03-10 11:28:00,560-ABC,BOM-3,63.49,OK,SUP-02,MYC***********5SG,WO-77200,False,Unknown,1.0085,63.1321,Morning,50.425,8.316206787186806,False,False,False,False,TL-007,Torque Wrench,Valid,2026-06-01
671,GA-1,STN-01,2026-03-10 11:34:00,506-ABC,BOM-2,56.64,OK,SUP-02,63S***********DM2,WO-86395,False,Leak Detected,1.0021,73.25350999999999,Morning,54.01319,9.92079,False,False,False,False,TL-003,Torque Wrench,Valid,2026-01-01
689,GA-1,STN-01,2026-03-10 11:44:00,946-DEF,BOM-1,62.09,,SUP-09,T2H***********GWY,WO-82086,False,Torque Out Of Spec,1.0074,87.24084,Morning,48.052980000000005,6.79990485252141,False,False,False,False,TL-014,Torque Wrench,Valid,2025-01-01
693,GA-1,STN-01,2026-03-10 11:46:00,352-DEF,BOM-2,70.34,,SUP-02,76N***********A13,WO-91744,False,Visual Defect,1.026,87.8256,Morning,56.2248,9.234,False,False,False,False,TL-008,Torque Wrench,Valid,2026-01-01
790,GA-2,STN-01,2026-03-10 12:34:00,672-DEF,BOM-2,63.76,REPAIR,SUP-09,BG0***********JEL,WO-83202,False,Visual Defect,0.9927,84.08169000000001,Morning,48.84084000000001,10.721160000000001,False,False,False,False,TL-019,Torque Wrench,Valid,2026-01-01
826,GA-1,STN-01,2026-03-10 12:52:00,350-GHI,BOM-2,73.84,REJECT,SUP-01,KHK***********0Z3,WO-97739,False,Visual Defect,0.9811,83.78594,Morning,49.15311,10.10533,False,False,False,False,TL-024,Torque Wrench,Valid,2026-01-01
846,GA-2,STN-01,2026-03-10 13:02:00,629-GHI,BOM-2,54.87,REPAIR,SUP-02,0WE***********CZ7,WO-58422,False,Temperature High,0.992,79.0624,Morning,51.3856,8.002316634261366,False,False,False,False,TL-014,Torque Wrench,Valid,2026-01-01
904,GA-2,STN-01,2026-03-10 13:31:00,918-DEF,BOM-1,56.37,REPAIR,SUP-09,3S0***********YG1,WO-88013,False,Temperature High,0.9888,85.33344,Morning,57.25152,10.8768,False,False,False,False,TL-010,Torque Wrench,Valid,2025-01-01
936,GA-2,STN-01,2026-03-10 13:47:00,299-ABC,BOM-2,78.51,,SUP-09,VZP***********57C,WO-10621,False,Torque Out Of Spec,1.0122,89.5797,Morning,53.54538,9.81834,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
896,GA-2,STN-01,2026-03-10 14:10:00,416-DEF,BOM-2,56.38,REJECT,SUP-01,R0C***********20J,WO-97475,False,Unknown,0.9702,73.8969,Evening,53.55504,8.05266,False,False,False,False,TL-013,Torque Wrench,Valid,2026-01-01
996,GA-2,STN-01,2026-03-10 14:17:00,422-GHI,BOM-3,77.9,REPAIR,SUP-09,J2U***********SMA,WO-11621,False,Torque Out Of Spec,0.979,75.9704,Evening,50.7122,9.443187302637929,False,False,False,False,TL-017,Torque Wrench,Valid,2026-06-01
1015,GA-2,STN-01,2026-03-10 14:27:00,913-DEF,BOM-2,60.9,OK,SUP-09,64Z***********UAV,WO-68364,False,Leak Detected,0.9622,85.92446,Evening,43.10656,9.665917897378618,False,False,False,False,TL-004,Torque Wrench,Valid,2026-01-01
1060,GA-2,STN-01,2026-03-10 14:49:00,763-GHI,BOM-1,55.07,REPAIR,SUP-09,99S***********W84,WO-65242,False,Temperature High,0.9917,74.47667,Evening,51.766740000000006,8.826130000000001,False,False,False,False,TL-008,Torque Wrench,Valid,2025-01-01
1088,GA-1,STN-01,2026-03-10 15:03:00,174-DEF,BOM-2,81.46,REPAIR,SUP-02,UTC***********8SB,WO-96410,False,Torque Out Of Spec,0.9979,72.68038333333332,Evening,42.21117,11.17648,False,False,False,False,TL-024,Torque Wrench,Valid,2026-01-01
1090,GA-1,STN-01,2026-03-10 15:04:00,552-ABC,BOM-3,37.68,REJECT,SUP-09,RKB***********259,WO-86853,False,Unknown,0.9912,57.09312,Evening,48.17232,9.218160000000001,False,False,False,False,TL-023,Torque Wrench,Valid,2026-06-01
1115,GA-1,STN-01,2026-03-10 15:17:00,413-DEF,BOM-3,56.36,OK,SUP-02,LHW***********NDR,WO-59535,False,Torque Out Of Spec,1.0444,84.53837777777778,Evening,52.7422,7.020849708352294,False,False,False,False,TL-004,Torque Wrench,Valid,2026-06-01
1134,GA-2,STN-01,2026-03-10 15:26:00,382-ABC,BOM-2,62.17,REJECT,SUP-02,MJ3***********PNR,WO-76552,False,Visual Defect,0.9972,90.2466,Evening,56.74068,7.77816,False,False,False,False,TL-008,Torque Wrench,Valid,2026-01-01
1171,GA-2,STN-01,2026-03-10 15:45:00,118-ABC,BOM-2,59.81,REJECT,SUP-09,U7P***********XVN,WO-90293,False,Torque Out Of Spec,0.9994,87.44749999999999,Evening,44.27342,9.79412,False,False,False,False,TL-023,Torque Wrench,Valid,2026-01-01
1232,GA-2,STN-01,2026-03-10 16:15:00,831-GHI,BOM-2,51.08,REJECT,SUP-09,A6W***********RL6,WO-78289,False,Leak Detected,0.9995,79.76010000000001,Evening,44.3778,9.34459934637819,False,False,False,False,TL-024,Torque Wrench,Valid,2026-01-01
1240,GA-1,STN-01,2026-03-10 16:19:00,594-GHI,BOM-1,54.55,,SUP-01,NEX***********YR3,WO-25375,False,Leak Detected,0.9937,84.96135,Evening,57.43586,11.52692,False,False,False,False,TL-009,Torque Wrench,Valid,2025-01-01
1241,GA-1,STN-01,2026-03-10 16:20:00,441-ABC,BOM-1,77.41,UNKNOWN,SUP-09,WE9***********69F,WO-77441,False,Temperature High,1.0036,84.60348,Evening,56.60304,10.337080000000002,False,False,False,False,TL-022,Torque Wrench,Valid,2025-01-01
1261,GA-2,STN-01,2026-03-10 16:30:00,325-DEF,BOM-3,56.09,REPAIR,SUP-02,LE4***********HVP,WO-30791,False,Unknown,0.9677,91.15734,Evening,53.2235,9.677,False,False,False,False,TL-022,Torque Wrench,Valid,2026-06-01
1342,GA-2,STN-01,2026-03-10 17:10:00,832-GHI,BOM-3,53.66,,SUP-02,NA3***********0SF,WO-93028,False,Temperature High,0.9942,69.20736666666667,Evening,51.79782,9.544319999999999,False,False,False,False,TL-018,Torque Wrench,Valid,2026-06-01
1343,GA-1,STN-01,2026-03-10 17:11:00,865-GHI,BOM-3,70.3,REJECT,SUP-09,VBR***********E13,WO-97916,False,Leak Detected,1.0389,77.10946666666666,Evening,54.23058,10.18122,False,False,False,False,TL-003,Torque Wrench,Valid,2026-06-01
1370,GA-2,STN-01,2026-03-10 17:24:00,954-DEF,BOM-3,71.31,REPAIR,SUP-02,72E***********6GF,WO-27768,False,Temperature High,0.9886,74.04614000000001,Evening,54.17528,12.159780000000001,False,False,False,False,TL-011,Torque Wrench,Valid,2026-06-01
1447,GA-1,STN-01,2026-03-10 18:03:00,648-ABC,BOM-1,51.13,,SUP-02,TBN***********6XY,WO-21929,False,Torque Out Of Spec,1.031,59.51161111111111,Evening,63.5096,11.0181469683807,False,False,False,False,TL-005,Torque Wrench,Valid,2025-01-01
1449,GA-1,STN-01,2026-03-10 18:04:00,404-ABC,BOM-3,59.61,REPAIR,SUP-02,1PK***********AKC,WO-43541,False,Torque Out Of Spec,1.0124,76.73992,Evening,49.1014,11.33888,False,False,False,False,TL-021,Torque Wrench,Valid,2026-06-01
1453,GA-1,STN-01,2026-03-10 18:06:00,100-GHI,BOM-2,54.2,REPAIR,SUP-01,VW3***********JT6,WO-39315,False,Leak Detected,0.9876,65.6754,Evening,48.8862,7.3082400000000005,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
1491,GA-2,STN-01,2026-03-10 18:25:00,473-DEF,BOM-2,40.7,OK,SUP-09,1AD***********HF9,WO-17003,False,Torque Out Of Spec,0.9723,84.97902,Evening,45.60087,12.73713,False,False,False,False,TL-012,Torque Wrench,Valid,2026-01-01
1525,GA-1,STN-01,2026-03-10 18:42:00,765-ABC,BOM-2,70.48,REPAIR,SUP-09,JA0***********3CH,WO-75323,False,Torque Out Of Spec,0.9673,88.50795000000001,Evening,46.33367,9.57042637102001,False,False,False,False,TL-009,Torque Wrench,Valid,2026-01-01
1537,GA-1,STN-01,2026-03-10 18:48:00,449-ABC,BOM-2,40.94,REPAIR,SUP-02,L8Y***********CYK,WO-77458,False,Unknown,0.9919,65.06863999999999,Evening,53.26503,7.836010000000001,False,False,False,False,TL-016,Torque Wrench,Valid,2026-01-01
1555,GA-2,STN-01,2026-03-10 18:57:00,453-GHI,BOM-2,64.64,REPAIR,SUP-09,4MS***********XRJ,WO-12178,False,Torque Out Of Spec,1.0309,87.11104999999999,Evening,44.43179,11.109479584660573,False,False,False,False,TL-017,Torque Wrench,Valid,2026-01-01
1559,GA-2,STN-01,2026-03-10 18:59:00,467-DEF,BOM-3,60.5,REJECT,SUP-02,ARS***********MF3,WO-37791,False,Leak Detected,1.0026,79.00487999999999,Evening,54.1404,8.622359999999999,False,False,False,False,TL-004,Torque Wrench,Valid,2026-06-01
1572,GA-2,STN-01,2026-03-10 19:05:00,671-DEF,BOM-2,51.26,REJECT,SUP-09,RDT***********PK1,WO-86407,False,Temperature High,0.983,52.5905,Evening,48.0687,9.45466015802755,False,False,False,False,TL-013,Torque Wrench,Valid,2026-01-01
1573,GA-2,STN-01,2026-03-10 19:06:00,572-ABC,BOM-1,52.67,REPAIR,SUP-09,A3Y***********LY8,WO-43011,False,Torque Out Of Spec,1.0102,85.76598,Evening,52.227340000000005,11.01118,False,False,False,False,TL-009,Torque Wrench,Valid,2025-01-01
1590,GA-2,STN-01,2026-03-10 19:14:00,211-GHI,BOM-3,59.55,UNKNOWN,SUP-01,5HS***********UCA,WO-16750,False,Unknown,0.9951,63.98493,Evening,47.46627,10.05051,False,False,False,False,TL-015,Torque Wrench,Valid,2026-06-01
1614,GA-1,STN-01,2026-03-10 19:26:00,812-GHI,BOM-2,79.62,REPAIR,SUP-01,170***********YDR,WO-59457,False,Leak Detected,0.9932,76.42122222222221,Evening,50.05728,6.55512,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
1619,GA-2,STN-01,2026-03-10 19:29:00,597-ABC,BOM-3,58.64,REJECT,SUP-09,SJ3***********FKD,WO-67822,False,Torque Out Of Spec,0.9852,78.10446666666665,Evening,50.83632,12.11796,False,False,False,False,TL-020,Torque Wrench,Valid,2026-06-01
1680,GA-2,STN-01,2026-03-10 19:59:00,128-GHI,BOM-2,56.05,REPAIR,SUP-01,1FD***********65H,WO-74898,False,Unknown,0.9903,89.22603,Evening,48.12858,10.39815,False,False,False,False,TL-002,Torque Wrench,Valid,2026-01-01
1682,GA-2,STN-01,2026-03-10 20:00:00,936-GHI,BOM-2,59.71,REJECT,SUP-02,0X4***********9KD,WO-46351,False,Visual Defect,1.0284,77.6442,Evening,46.17516,11.003879999999999,False,False,False,False,TL-015,Torque Wrench,Valid,2026-01-01
1650,GA-2,STN-01,2026-03-10 20:10:00,183-ABC,BOM-3,64.38,OK,SUP-01,YCM***********ZRM,WO-22662,False,Temperature High,0.9778,80.6685,Evening,45.4677,8.373168411037108,False,False,False,False,TL-013,Torque Wrench,Valid,2026-06-01
1841,GA-2,STN-01,2026-03-10 21:20:00,888-GHI,BOM-1,58.01,OK,SUP-09,R80***********W0X,WO-42785,False,Unknown,1.0121,69.66621666666666,Evening,47.66991,7.69196,False,False,False,False,TL-004,Torque Wrench,Valid,2025-01-01
1900,GA-1,STN-01,2026-03-10 21:49:00,858-DEF,BOM-3,64.03,UNKNOWN,SUP-09,GNH***********BYD,WO-86208,False,Leak Detected,0.995,79.401,Evening,44.377,11.144,False,False,False,False,TL-024,Torque Wrench,Valid,2026-06-01
1985,GA-1,STN-01,2026-03-10 22:32:00,931-DEF,BOM-2,60.8,REJECT,SUP-09,FKG***********2HL,WO-33280,False,Unknown,1.013,76.7854,Night,46.6993,8.9144,False,False,False,False,TL-021,Torque Wrench,Valid,2026-01-01
1993,GA-2,STN-01,2026-03-10 22:36:00,552-GHI,BOM-2,67.73,REPAIR,SUP-09,3Y2***********VXL,WO-59213,False,Temperature High,1.0185,62.84145,Night,52.1472,11.610899999999999,False,False,False,False,TL-007,Torque Wrench,Valid,2026-01-01
2024,GA-1,STN-01,2026-03-10 22:51:00,866-GHI,BOM-3,54.65,REJECT,SUP-01,T2W***********FBV,WO-69395,False,Leak Detected,1.0053,86.85792000000001,Night,49.96341000000001,11.460420000000001,False,False,False,False,TL-024,Torque Wrench,Valid,2026-06-01
2038,GA-1,STN-01,2026-03-10 22:58:00,438-ABC,BOM-2,66.72,OK,SUP-09,9VX***********7XV,WO-20538,False,Torque Out Of Spec,1.0229,88.37856,Night,56.2595,8.230424440491456,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
2042,GA-2,STN-01,2026-03-10 23:00:00,104-ABC,BOM-3,73.17,REJECT,SUP-02,2F8***********TZ2,WO-97914,False,Leak Detected,1.0141,74.73917,Night,54.05153,10.141,False,False,False,False,TL-021,Torque Wrench,Valid,2026-06-01
2056,GA-2,STN-01,2026-03-10 23:07:00,200-ABC,BOM-2,58.35,,SUP-01,FLX***********RV9,WO-51173,False,Unknown,0.9804,84.21636000000001,Night,51.86316,10.2942,False,False,False,False,TL-008,Torque Wrench,Valid,2026-01-01
2067,GA-2,STN-01,2026-03-10 23:12:00,132-GHI,BOM-1,52.8,REPAIR,SUP-01,PJJ***********4DU,WO-15817,False,Leak Detected,1.0107,59.732369999999996,Night,55.38636,10.466714929880444,False,False,False,False,TL-011,Torque Wrench,Valid,2025-01-01
2070,GA-1,STN-01,2026-03-10 23:14:00,174-DEF,BOM-2,56.59,REPAIR,SUP-09,KK0***********44F,WO-67126,False,Temperature High,1.0099,78.26725,Night,49.4851,11.51286,False,False,False,False,TL-004,Torque Wrench,Valid,2026-01-01
2089,GA-2,STN-01,2026-03-10 23:24:00,145-ABC,BOM-2,61.3,REJECT,SUP-01,Y8B***********GT5,WO-20507,False,Leak Detected,1.0289,82.92933999999998,Night,48.25541,,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
2106,GA-2,STN-01,2026-03-10 23:32:00,163-GHI,BOM-1,75.8,REPAIR,SUP-01,BHL***********736,WO-89453,False,Visual Defect,1.0303,89.94519,Night,48.83622,11.84845,False,False,False,False,TL-004,Torque Wrench,Valid,2025-01-01
2130,GA-1,STN-01,2026-03-10 23:44:00,334-GHI,BOM-3,62.41,REJECT,SUP-01,V4J***********VUC,WO-16599,False,Leak Detected,1.0251,101.17737,Night,56.68802999999999,,False,False,False,False,TL-005,Torque Wrench,Valid,2026-06-01
2153,GA-2,STN-01,2026-03-10 23:56:00,897-DEF,BOM-3,75.59,REJECT,SUP-09,AF5***********UPL,WO-77680,False,Unknown,0.9904,86.56096,Night,45.36032,10.79536,False,False,False,False,TL-014,Torque Wrench,Valid,2026-06-01
2159,GA-2,STN-01,2026-03-10 23:59:00,715-GHI,BOM-1,50.36,OK,SUP-01,RU8***********SP8,WO-55717,False,Temperature High,1.0036,76.87576,Night,53.59224,9.333480000000002,False,False,False,False,TL-007,Torque Wrench,Valid,2025-01-01
2168,GA-2,STN-01,2026-03-11 00:03:00,213-DEF,BOM-3,60.07,OK,SUP-09,BY0***********51J,WO-11337,False,Leak Detected,0.9935,88.91825,Night,41.230250000000005,10.816037865938583,False,False,False,False,TL-015,Torque Wrench,Valid,2026-06-01
2171,GA-1,STN-01,2026-03-11 00:05:00,711-ABC,BOM-2,57.93,OK,SUP-01,6XE***********RZC,WO-18684,False,Torque Out Of Spec,0.9947,68.33589,Night,45.45779,8.55442,False,False,False,False,TL-014,Torque Wrench,Valid,2026-01-01
2183,GA-1,STN-01,2026-03-11 00:11:00,838-ABC,BOM-1,61.95,REJECT,SUP-01,MP0***********47D,WO-48761,False,Visual Defect,1.0088,80.90576,Night,41.05816,8.84033701512707,False,False,False,False,TL-024,Torque Wrench,Valid,2025-01-01
2237,GA-1,STN-01,2026-03-11 00:37:00,992-DEF,BOM-1,49.23,REJECT,SUP-02,PK0***********CDF,WO-26808,False,Visual Defect,0.9982,108.10506,Night,49.71036,9.58272,False,False,False,False,TL-006,Torque Wrench,Valid,2025-01-01
2352,GA-2,STN-01,2026-03-11 01:35:00,724-GHI,BOM-2,58.74,REJECT,SUP-02,DKN***********KP2,WO-54523,False,Leak Detected,1.0314,79.21152000000001,Night,54.76734,9.2826,False,False,False,False,TL-018,Torque Wrench,Valid,2026-01-01
2397,GA-1,STN-01,2026-03-11 01:58:00,687-ABC,BOM-2,64.37,OK,SUP-09,LKZ***********G87,WO-29056,False,Leak Detected,1.0093,79.4543388888889,Night,48.24454,11.196815317365106,False,False,False,False,TL-022,Torque Wrench,Valid,2026-01-01
2402,GA-1,STN-01,2026-03-11 02:00:00,175-ABC,BOM-3,58.01,REPAIR,SUP-09,9FT***********BB0,WO-66712,False,Leak Detected,0.9838,81.1635,Night,54.01062,11.51046,False,False,False,False,TL-003,Torque Wrench,Valid,2026-06-01
2431,GA-2,STN-01,2026-03-11 02:15:00,649-GHI,BOM-2,54.74,REJECT,SUP-02,CMP***********6LZ,WO-11265,False,Temperature High,0.9904,63.97983999999999,Night,41.99296,9.50784,False,False,False,False,TL-022,Torque Wrench,Valid,2026-01-01
2482,GA-2,STN-01,2026-03-11 02:40:00,116-ABC,BOM-3,67.98,REPAIR,SUP-01,X94***********S51,WO-46721,False,Torque Out Of Spec,1.0265,94.6433,Night,51.325,8.6226,False,False,False,False,TL-015,Torque Wrench,Valid,2026-06-01
2491,GA-1,STN-01,2026-03-11 02:45:00,168-ABC,BOM-1,61.63,REPAIR,SUP-02,D1W***********FX4,WO-22135,False,Unknown,1.0322,87.01446,Night,55.842020000000005,12.746109295494973,False,False,False,False,TL-004,Torque Wrench,Valid,2025-01-01
2546,GA-2,STN-01,2026-03-11 03:12:00,290-ABC,BOM-3,59.47,REJECT,SUP-02,UUD***********MN5,WO-67181,False,Visual Defect,1.0122,64.47714,Night,48.18072,10.122,False,False,False,False,TL-014,Torque Wrench,Valid,2026-06-01
2547,GA-2,STN-01,2026-03-11 03:13:00,956-ABC,BOM-3,68.05,REPAIR,SUP-01,HLD***********8WC,WO-14827,False,Temperature High,1.0118,80.64046,Night,48.97112,11.73688,False,False,False,False,TL-022,Torque Wrench,Valid,2026-06-01
2558,GA-1,STN-01,2026-03-11 03:18:00,233-DEF,BOM-1,58.5,REPAIR,SUP-09,2ML***********5UP,WO-10516,False,Unknown,0.9755,65.84625,Night,52.8721,12.610919207380135,False,False,False,False,TL-001,Torque Wrench,Valid,2025-01-01
2584,GA-2,STN-01,2026-03-11 03:31:00,575-ABC,BOM-3,58.45,UNKNOWN,SUP-02,Z4Y***********J39,WO-69661,False,Visual Defect,0.9438,76.73093999999999,Night,48.79446,11.3256,False,False,False,False,TL-008,Torque Wrench,Valid,2026-06-01
2721,GA-2,STN-01,2026-03-11 04:40:00,212-DEF,BOM-2,60.7,REJECT,SUP-02,SRE***********E62,WO-22441,False,Visual Defect,0.9456,94.29733333333334,Night,48.13104,7.94304,False,False,False,False,TL-018,Torque Wrench,Valid,2026-01-01
2724,GA-1,STN-01,2026-03-11 04:41:00,170-ABC,BOM-3,61.5,REPAIR,SUP-01,Y6R***********8NJ,WO-42269,False,Visual Defect,1.0,79.5,Night,50.9,9.383747707497346,False,False,False,False,TL-011,Torque Wrench,Valid,2026-06-01
2737,GA-2,STN-01,2026-03-11 04:48:00,319-ABC,BOM-2,40.88,REJECT,SUP-09,W4M***********W8X,WO-70785,False,Unknown,0.9761,80.0402,Night,44.21733,10.471818420000275,False,False,False,False,TL-016,Torque Wrench,Valid,2026-01-01
2918,GA-2,STN-01,2026-03-11 06:18:00,462-GHI,BOM-2,55.23,REPAIR,SUP-01,CX7***********372,WO-64661,False,Visual Defect,0.9974,76.52274444444444,Morning,59.04608,10.549039562045808,False,False,False,False,TL-007,Torque Wrench,Valid,2026-01-01
2922,GA-1,STN-01,2026-03-11 06:20:00,493-DEF,BOM-2,61.01,REPAIR,SUP-01,SJH***********4ZT,WO-60835,False,Unknown,1.0082,74.20352,Morning,51.51902,11.49348,False,False,False,False,TL-003,Torque Wrench,Valid,2026-01-01
2925,GA-1,STN-01,2026-03-11 06:22:00,498-DEF,BOM-2,44.53,REJECT,SUP-02,3A9***********JAC,WO-59321,False,Unknown,0.9858,67.92162,Morning,45.93828,9.167940000000002,False,False,False,False,TL-013,Torque Wrench,Valid,2026-01-01
